address,apt,case,offense_code,offense,date_rept,date_occu,hour_occu,date_fnd,hour_fnd,lat,lon
1223 THEO DICKINSON DR,,07010258,PRA,PROPERTY FOUND IMPOUNDED,2007-11-10,2007-10-27,0000,2007-11-10,0000,25.7170977,-80.2793768
1223 THEO DICKINSON DR,,07010258,ZOE,PROPERTY FOUND IMPOUNDED,2007-11-10,2007-10-27,0000,2007-11-10,0000,25.7170977,-80.2793768
1311 MILLER DR,,07010263,THF,THEFT FROM STRUCTURE WITH LEGAL ACCESS PUBLIC BUILDING,2007-11-10,2007-11-08,1615,2007-11-08,1615,25.720387,-80.279546
1239 THEO DICKINSON DR,,07010271,ALA,ALCOHOL JUVENILE VIOLATION,2007-11-11,2007-11-11,0000,2007-11-11,0000,25.715591,-80.2816
5399 PONCE DE LEON BLVD,,07010273,ALA,ALCOHOL JUVENILE VIOLATION,2007-11-11,2007-11-11,0004,2007-11-11,0.002,25.7146629,-80.2777943
5616 PAVIA ST,,07010286,THC,THEFT FROM MOTOR VEHICLE,2007-11-11,2007-11-10,2230,2007-11-11,2230,25.7181647,-80.2760863
1223 THEO DICKINSON DR,,07010292,ZOD,INCIDENT REPORT,2007-11-11,2007-11-11,2121,2007-11-11,2121,25.7170977,-80.2793768
5185 PONCE DE LEON BLVD,,07010294,ZOD,INCIDENT REPORT,2007-11-12,2007-11-12,0200,2007-11-12,0.083,25.7179231,-80.2737624
5185 PONCE DE LEON BLVD,,07010312,SCE,SIMPLE HARASSMENT,2007-11-12,2007-11-11,2230,2007-11-11,2230,25.7179231,-80.2737624
1231 THEO DICKINSON DR,PT1115,07010321,ZOE,SUSPICIOUS INCIDENT,2007-11-12,2007-11-12,1849,2007-11-12,1849,25.7169005,-80.280238
5501 SAN AMARO DR,,07010326,ZOA,TRESPASS WARNING,2007-11-12,2007-11-12,2145,2007-11-12,2145,25.7187893,-80.2803368
5501 SAN AMARO DR,,07010334,ZOE,SUSPICIOUS INCIDENT,2007-11-13,2007-11-12,1230,2007-11-13,1230,25.7187893,-80.2803368
5000 BRUNSON DR,BLK,07010335,THB,THEFT OF AUTO PART ACCESSORY,2007-11-13,2007-11-13,0745,2007-11-13,0745,25.7233487,-80.2760784
5665 PONCE DE LEON BLVD,,07010310,ASA,ASSIST LAW AGENCY,2007-11-13,2007-11-10,0900,2007-11-12,0900,25.7127401,-80.2809083
5600 PONCE DE LEON BLVD,,07010380,ZOA,TRESPASS WARNING,2007-11-14,2007-11-14,1440,2007-11-14,1439,25.713698,-80.278328
5600 PONCE DE LEON BLVD,,07010380,ZOE,TRESPASS WARNING,2007-11-14,2007-11-14,1440,2007-11-14,1439,25.713698,-80.278328
5800 SAN AMARO DR,BLK,07010390,TVE,THEFT OF BICYCLE,2007-11-14,2007-11-14,0030,2007-11-14,0.020,25.7150399,-80.283608
1290 CAMPO SANO AV,,07010445,ZOE,SUSPICIOUS INCIDENT,2007-11-15,2007-11-15,2204,2007-11-15,2204,25.7245327,-80.2752466
1101 STANFORD DR,,07010447,ALA,ALCOHOL JUVENILE VIOLATION,2007-11-16,2007-11-15,2355,2007-11-16,2355,25.7183323,-80.27499759999999
1231 THEO DICKINSON DR,,07010449,ALA,ALCOHOL JUVENILE VIOLATION,2007-11-16,2007-11-16,0215,2007-11-16,0.093,25.7169005,-80.280238
5600 GEORGE E MERRICK ST,21H,07010465,ZOA,TRESPASS WARNING,2007-11-16,2007-11-16,1039,2007-11-16,1039,25.7183404,-80.27676699999999
1239 THEO DICKINSON DR,,07010504,ALA,ALCOHOL JUVENILE VIOLATION,2007-11-17,2007-11-17,0445,2007-11-17,0445,25.715591,-80.2816
1239 THEO DICKINSON DR,,07010526,THK,THEFT OTHER,2007-11-17,2007-11-17,1830,2007-11-17,1830,25.715591,-80.2816
4500 PONCE DE LEON BLVD,BLK,07010499,ZOD,INCIDENT REPORT,2007-11-17,2007-11-17,0045,2007-11-17,0.031,25.7301048,-80.2586468
5800 SAN AMARO DR,,07010529,SCA,SIMPLE BATTERY,2007-11-18,2007-11-18,0035,2007-11-18,0.024,25.7150399,-80.283608
1210 STANFORD DR,,07010579,THC,THEFT FROM MOTOR VEHICLE,2007-11-19,2007-11-19,1659,2007-11-19,1659,25.7182056,-80.27484319999999
5900 SAN AMARO DR,,07010592,FDD,FD INJURED PERSON,2007-11-20,2007-11-20,0750,2007-11-20,0750,25.7136802,-80.28354949999999
5700 PONCE DE LEON BLVD,,07010628,ZOA,TRESPASS WARNING,2007-11-21,2007-11-21,0134,2007-11-21,0.065,25.7122517,-80.2804582
1350 MILLER DR,125,07010635,PRA,PROPERTY FOUND IMPOUNDED,2007-11-21,2007-11-21,0935,2007-11-21,0935,25.720147,-80.279648
1231 THEO DICKINSON DR,,07010638,THG,THEFT FROM COIN OPERATED MACHINE,2007-11-21,2007-11-19,1100,2007-11-21,1100,25.7169005,-80.280238
1101 STANFORD DR,214,07010678,SCE,SIMPLE HARASSMENT,2007-11-23,2007-11-22,1000,2007-11-23,1000,25.7183323,-80.27499759999999
5185 PONCE DE LEON BLVD,,07010681,THK,THEFT OTHER,2007-11-23,2007-11-21,2230,2007-11-21,2230,25.7179231,-80.2737624
1101 STANFORD DR,,07010757,PRA,PROPERTY FOUND IMPOUNDED,2007-11-27,2007-11-26,2355,2007-11-27,2355,25.7183323,-80.27499759999999
5250 UNIVERSITY DR,,07010788,ZOE,SUSPICIOUS INCIDENT,2007-11-27,2007-11-27,1500,2007-11-27,1500,25.720281,-80.27595199999999
1231 THEO DICKINSON DR,P214,07010875,ALA,ALCOHOL JUVENILE VIOLATION,2007-11-30,2007-11-30,0240,2007-11-30,0240,25.7169005,-80.280238
1231 THEO DICKINSON DR,PT710,07010898,BUA,BURGLARY RESIDENTIAL,2007-11-30,2007-11-30,1130,2007-11-30,1130,25.7169005,-80.280238
1231 THEO DICKINSON DR,PT710,07010898,THK,BURGLARY RESIDENTIAL,2007-11-30,2007-11-30,1130,2007-11-30,1130,25.7169005,-80.280238
5501 SAN AMARO DR,,07010938,THB,THEFT OF AUTO PART ACCESSORY,2007-12-01,2007-11-30,1830,2007-12-01,1830,25.7187893,-80.2803368
1211 THEO DICKINSON DR,359,07010983,SCE,SIMPLE HARASSMENT,2007-12-03,2007-11-20,2227,2007-12-03,2227,25.716037,-80.27868200000002
1320 S DIXIE HWY,,07011138,SCB,SIMPLE ASSAULT THREATS,2007-12-07,2007-11-29,1630,2007-11-29,1630,25.713376,-80.277292
5600 GEORGE E MERRICK ST,21Q,07011329,ZOA,TRESPASS WARNING,2007-12-13,2007-12-13,0953,2007-12-13,0953,25.7183404,-80.27676699999999
5800 PONCE DE LEON BLVD,BLK,07011390,VEA,VEHICLE DRIVING BOATING UNDER THE INFLUENCE,2007-12-15,2007-12-15,0105,2007-12-15,0.045,25.7084219,-80.28527120000001
5800 PONCE DE LEON BLVD,BLK,07011390,VEC,VEHICLE DRIVING BOATING UNDER THE INFLUENCE,2007-12-15,2007-12-15,0105,2007-12-15,0.045,25.7084219,-80.28527120000001
5665 PONCE DE LEON BLVD,,07011415,ZOA,TRESPASS WARNING,2007-12-16,2007-12-16,0406,2007-12-16,0405,25.7127401,-80.2809083
1251 MEMORIAL DR,,07011420,ZOA,TRESPASS WARNING,2007-12-16,2007-12-16,1237,2007-12-16,1237,25.7227309,-80.2787218
1239 THEO DICKINSON DR,,07011465,FDC,FD OTHER FIRE,2007-12-17,2007-12-17,2215,2007-12-17,2215,25.715591,-80.2816
5665 PONCE DE LEON BLVD,,07011544,ZOA,TRESPASS WARNING,2007-12-20,2007-12-20,0009,2007-12-20,0.006,25.7127401,-80.2809083
5501 SAN AMARO DR,,07011556,THC,THEFT FROM MOTOR VEHICLE,2007-12-20,2007-12-20,1130,2007-12-20,1130,25.7187893,-80.2803368
5501 SAN AMARO DR,,07011676,PRA,PROPERTY FOUND IMPOUNDED,2007-12-25,2007-12-25,0300,2007-12-25,0300,25.7187893,-80.2803368
5801 SAN AMARO DR,,07011789,THC,THEFT FROM MOTOR VEHICLE,2007-12-30,2007-12-30,1530,2007-12-30,1530,25.7167012,-80.2830467
1311 MILLER DR,F303,08000227,THF,THEFT FROM STRUCTURE WITH LEGAL ACCESS PUBLIC BUILDING,2008-01-09,2007-12-26,1000,2008-01-04,1000,25.720387,-80.279546
5185 PONCE DE LEON BLVD,604,08000396,BUA,BURGLARY RESIDENTIAL,2008-01-15,2007-12-13,1700,2008-01-14,1700,25.7179231,-80.2737624
5185 PONCE DE LEON BLVD,604,08000396,THK,THEFT OTHER,2008-01-15,2007-12-13,1700,2008-01-14,1700,25.7179231,-80.2737624
1101 STANFORD DR,613,08000420,BUA,BURGLARY RESIDENTIAL,2008-01-16,2007-12-13,2100,2008-01-14,2100,25.7183323,-80.27499759999999
1101 STANFORD DR,613,08000420,THK,THEFT OTHER,2008-01-16,2007-12-13,2100,2008-01-14,2100,25.7183323,-80.27499759999999
5185 PONCE DE LEON BLVD,602,08000435,BUA,BURGLARY RESIDENTIAL,2008-01-16,2007-12-13,1700,2008-01-14,1700,25.7179231,-80.2737624
5185 PONCE DE LEON BLVD,602,08000435,THK,THEFT OTHER,2008-01-16,2007-12-13,1700,2008-01-14,1700,25.7179231,-80.2737624
5665 PONCE DE LEON BLVD,,08000097,VAB,VANDALISM TO VEHICLE,2008-01-04,2008-01-04,0001,2008-01-04,0.000,25.7127401,-80.2809083
5616 GEORGE E MERRICK ST,,08000148,VAB,VANDALISM TO VEHICLE,2008-01-07,2008-01-06,2341,2008-01-06,2341,25.7163614,-80.2762681
5616 GEORGE E MERRICK ST,,08000148,ZOE,SUSPICIOUS INCIDENT,2008-01-07,2008-01-06,2341,2008-01-06,2341,25.7163614,-80.2762681
5821 SAN AMARO DR,278,08000172,THF,THEFT FROM STRUCTURE WITH LEGAL ACCESS PUBLIC BUILDING,2008-01-07,2008-01-07,1000,2008-01-07,1000,25.714778,-80.28324909999999
5500 SAN AMARO DR,BLK,08000188,XOT,TRESPASSING,2008-01-08,2008-01-08,1012,2008-01-08,1012,25.7202428,-80.2810222
5800 SAN AMARO DR,,08000197,VAA,VANDALISM TO STRUCTURE,2008-01-08,2008-01-07,1800,2008-01-08,1800,25.7150399,-80.283608
5800 SAN AMARO DR,,08000197,VAB,VANDALISM TO STRUCTURE,2008-01-08,2008-01-07,1800,2008-01-08,1800,25.7150399,-80.283608
1239 THEO DICKINSON DR,,08000248,ZOA,TRESPASS WARNING,2008-01-10,2008-01-10,0045,2008-01-10,0.031,25.715591,-80.2816
6300 SAN AMARO DR,BLK,08000273,VEA,VEHICLE DRIVING BOATING UNDER THE INFLUENCE,2008-01-11,2008-01-11,0110,2008-01-11,0.048,25.7111151,-80.2831906
6300 SAN AMARO DR,BLK,08000273,VEC,VEHICLE DRIVING BOATING UNDER THE INFLUENCE,2008-01-11,2008-01-11,0110,2008-01-11,0.048,25.7111151,-80.2831906
5900 SAN AMARO DR,BLK,08000285,ZOE,SUSPICIOUS INCIDENT,2008-01-11,2008-01-11,0900,2008-01-11,0900,25.7136802,-80.28354949999999
5616 GEORGE E MERRICK ST,,08000289,XOT,TRESPASSING,2008-01-11,2008-01-11,1230,2008-01-11,1230,25.7163614,-80.2762681
5665 PONCE DE LEON BLVD,,08000313,ZOA,TRESPASS WARNING,2008-01-12,2008-01-12,1220,2008-01-12,1220,25.7127401,-80.2809083
5183 PONCE DE LEON BLV,,08000357,THC,THEFT FROM MOTOR VEHICLE,2008-01-14,2008-01-12,2355,2008-01-13,2355,25.7179567,-80.2737216
1365 MEMORIAL DR,,08000276,ZOA,TRESPASS WARNING,2008-01-14,2008-01-11,0330,2008-01-11,0330,25.7214386,-80.2799399
5500 PONCE DE LEON BLVD,,08000363,THC,THEFT FROM MOTOR VEHICLE,2008-01-14,2008-01-14,1300,2008-01-14,1300,25.7129758,-80.2796599
1200 MEMORIAL DR,BLK,08000389,PRB,PROPERTY LOST,2008-01-15,2008-01-14,0930,2008-01-14,0930,25.721586,-80.2790782
5501 SAN AMARO DR,,08000467,XOT,TRESPASSING,2008-01-18,2008-01-18,0048,2008-01-18,0.033,25.7187893,-80.2803368
5501 SAN AMARO DR,,08000467,ZOA,TRESPASS WARNING,2008-01-18,2008-01-18,0048,2008-01-18,0.033,25.7187893,-80.2803368
1101 STANFORD DR,716,08000474,VAC,VANDALISM TO PERSONAL PROPERTY,2008-01-18,2008-01-17,2300,2008-01-18,2300,25.7183323,-80.27499759999999
1101 STANFORD DR,,08000494,ALA,ALCOHOL JUVENILE VIOLATION,2008-01-19,2008-01-19,0401,2008-01-19,0401,25.7183323,-80.27499759999999
5501 SAN AMARO DR,,08000499,VAA,VANDALISM TO STRUCTURE,2008-01-19,2008-01-19,1300,2008-01-19,1300,25.7187893,-80.2803368
1211 THEO DICKINSON DR,E427,08000548,BUA,BURGLARY RESIDENTIAL,2008-01-22,2008-01-18,0800,2008-01-21,0800,25.716037,-80.27868200000002
5500 PONCE DE LEON BLVD,,08000575,THC,THEFT FROM MOTOR VEHICLE,2008-01-22,2008-01-22,0730,2008-01-22,0730,25.7129758,-80.2796599
1231 THEO DICKINSON DR,,08000582,SCE,SIMPLE HARASSMENT,2008-01-22,2008-01-16,0800,2008-01-22,0800,25.7169005,-80.280238
5600 MILLER DR,,08000593,VEI,VEHICLE PARKING OFFENSE SCOFF LAW,2008-01-23,2008-01-23,0910,2008-01-23,0910,25.7189231,-80.2860378
