Address1,Apt,Case,Pri_Offens,Off_Code,Offense,tract,date_rept,DATEofReport,REP_DATE,date_occ,hour_occ,date_fnd,hour_fnd,FID,X,Y,Donxees,Donyees
5400 PONCE DE LEON BLVD,2,07000413,1,ASA,ASSIST LAW AGENCY,07U,"01/16/2007""  ""20:48:08 a01/p01",01/16/07,07/01/16 ,"01/16/2007""  ""20:45:00 a01/p01",2045,"01/16/2007""  ""20:47:04 a01/p01",20:45,#N/A,#N/A,#N/A,895374.630,503876.970
5050 BRUNSON DR,,07000425,1,VEI,VEHICLE PARKING OFFENSE / SCOFF LAW,07U,"01/17/2007""  ""00:00:00 a01/p01",01/17/07,07/01/17 ,"01/17/2007""  ""00:00:00 a01/p01",1120,"01/17/2007""  ""00:00:00 a01/p01",11:20,20,894420.18700000003,505665.27899999998,893202.500,503207.000
5050 BRUNSON DR,,07000426,1,VEI,VEHICLE PARKING OFFENSE / SCOFF LAW,07U,"01/17/2007""  ""00:00:00 a01/p01",01/17/07,07/01/17 ,"01/17/2007""  ""00:00:00 a01/p01",1115,"01/17/2007""  ""00:00:00 a01/p01",11:15,20,894420.18700000003,505665.27899999998,894277.560,506034.280
5183 PONCE DE LEON BLVD,,07000419,1,VEI,VEHICLE PARKING OFFENSE / SCOFF LAW,07U,"01/17/2007""  ""00:00:00 a01/p01",01/17/07,07/01/17 ,"01/17/2007""  ""00:00:00 a01/p01",1015,"01/17/2007""  ""00:00:00 a01/p01",10:15,49,895569.78700000001,504323.94,894383.750,505930.720
1306 STANFORD DR,,06009809,1,THC,THEFT FROM MOTOR VEHICLE,07U,"01/17/2007""  ""02:35:00 a01/p01",01/17/07,07/01/17 ,"10/31/2006""  ""22:30:00 a10/p10",2230,"10/31/2006""  ""23:00:00 a10/p10",22:30,432,894239.15800000005,504433.315,893603.060,505267.690
5850 SAN AMARO DR,205,07000438,1,PRA,PROPERTY FOUND / IMPOUNDED,07U,"01/17/2007""  ""16:10:26 a01/p01",01/17/07,07/01/17 ,"01/17/2007""  ""16:10:25 a01/p01",1610,"01/17/2007""  ""16:10:26 a01/p01",16:10,111,892024.495,502487.71799999999,895354.500,503899.190
5050 BRUNSON DR,,07000456,1,VEI,VEHICLE PARKING OFFENSE / SCOFF LAW,07U,"01/18/2007""  ""00:00:00 a01/p01",01/18/07,07/01/18 ,"01/18/2007""  ""00:00:00 a01/p01",0950,"01/18/2007""  ""00:00:00 a01/p01",09:50,20,894420.18700000003,505665.27899999998,891793.880,501561.660
5100 BRUNSON DR,,07000454,1,VEI,VEHICLE PARKING OFFENSE / SCOFF LAW,07U,"01/18/2007""  ""00:00:00 a01/p01",01/18/07,07/01/18 ,"01/18/2007""  ""00:00:00 a01/p01",0850,"01/18/2007""  ""00:00:00 a01/p01",08:50,#N/A,#N/A,#N/A,894285.000,506040.970
5185 PONCE DE LEON BLVD,4451,07000455,2,BUA,BURGLARY RESIDENTIAL,07U,"01/18/2007""  ""11:50:00 a01/p01",01/18/07,07/01/18 ,"01/18/2007""  ""05:00:00 a01/p01",0500,"01/18/2007""  ""06:00:00 a01/p01",05:00,#N/A,#N/A,#N/A,895346.880,503851.810
5185 PONCE DE LEON BLVD,4451,07000455,1,SXA,SEXUAL FEMALE RAPE,07U,"01/18/2007""  ""11:50:00 a01/p01",01/18/07,07/01/18 ,"01/18/2007""  ""05:00:00 a01/p01",0500,"01/18/2007""  ""06:00:00 a01/p01",05:00,#N/A,#N/A,#N/A,892136.940,502635.470
5185 PONCE DE LEON BLVD,4451,07000455,2,THK,THEFT OTHER,07U,"01/18/2007""  ""11:50:00 a01/p01",01/18/07,07/01/18 ,"01/18/2007""  ""05:00:00 a01/p01",0500,"01/18/2007""  ""06:00:00 a01/p01",05:00,#N/A,#N/A,#N/A,892669.500,504245.340
1303 STANFORD DR,,07000486,1,ZOD,INCIDENT REPORT,07U,"01/18/2007""  ""23:31:17 a01/p01",01/18/07,07/01/18 ,"01/18/2007""  ""23:31:00 a01/p01",2331,"01/18/2007""  ""23:31:00 a01/p01",23:31,43,894817.86600000004,504665.10800000001,893202.500,503207.000
1111 MEMORIAL DR,,07000497,1,VEI,VEHICLE PARKING OFFENSE / SCOFF LAW,07U,"01/19/2007""  ""00:00:00 a01/p01",01/19/07,07/01/19 ,"01/19/2007""  ""00:00:00 a01/p01",0920,"01/19/2007""  ""00:00:00 a01/p01",09:20,18,894105.66599999997,505505.27299999999,892692.560,501420.220
5050 BRUNSON DR,,07000508,1,VEI,VEHICLE PARKING OFFENSE / SCOFF LAW,07U,"01/19/2007""  ""00:00:00 a01/p01",01/19/07,07/01/19 ,"01/19/2007""  ""00:00:00 a01/p01",0145,"01/19/2007""  ""00:00:00 a01/p01",0.072917,20,894420.18700000003,505665.27899999998,894669.130,504101.500
5183 PONCE DE LEON BLVD,,07000495,1,VEI,VEHICLE PARKING OFFENSE / SCOFF LAW,07U,"01/19/2007""  ""00:00:00 a01/p01",01/19/07,07/01/19 ,"01/19/2007""  ""00:00:00 a01/p01",0925,"01/19/2007""  ""00:00:00 a01/p01",09:25,49,895569.78700000001,504323.94,894667.930,504124.650
1551 BRESCIA AV,,07000494,1,VEI,VEHICLE PARKING OFFENSE / SCOFF LAW,07U,"01/19/2007""  ""00:00:00 a01/p01",01/19/07,07/01/19 ,"01/19/2007""  ""00:00:00 a01/p01",0909,"01/19/2007""  ""00:00:00 a01/p01",09:09,99,891580.03899999999,501686.75099999999,894326.810,503344.000
5665 PONCE DE LEON BLVD,,07000506,1,PRB,PROPERTY LOST,07U,"01/19/2007""  ""12:32:05 a01/p01",01/19/07,07/01/19 ,"11/24/2006""  ""13:00:00 a11/p11",1300,"12/ 2/2006""  ""18:00:05 a12/p12",13:00,#N/A,#N/A,#N/A,894326.810,503344.000
5616 GEORGE E MERRICK ST,315,07000532,2,ALA,ALCOHOL JUVENILE VIOLATION,07U,"01/20/2007""  ""00:00:00 a01/p01",01/20/07,07/01/20 ,"01/20/2007""  ""00:00:00 a01/p01",0114,"01/20/2007""  ""00:00:00 a01/p01",0.051389,#N/A,#N/A,#N/A,894667.940,504124.660
5616 GEORGE E MERRICK ST,315,07000532,1,FRG,FRAUD POSSESSION OF COUNTERFEIT,07U,"01/20/2007""  ""00:00:00 a01/p01",01/20/07,07/01/20 ,"01/20/2007""  ""00:00:00 a01/p01",0114,"01/20/2007""  ""00:00:00 a01/p01",0.051389,#N/A,#N/A,#N/A,892151.250,502788.340
1203 WILLIAM E WALSH AV,F,07000533,2,ALA,ALCOHOL JUVENILE VIOLATION,07U,"01/20/2007""  ""05:16:00 a01/p01",01/20/07,07/01/20 ,"01/20/2007""  ""05:16:00 a01/p01",0516,"01/20/2007""  ""05:16:00 a01/p01",05:16,58,894141.21200000006,503428.23700000002,893930.810,506169.750
1203 WILLIAM E WALSH AV,F,07000533,1,FRG,FRAUD POSSESSION OF COUNTERFEIT,07U,"01/20/2007""  ""05:16:00 a01/p01",01/20/07,07/01/20 ,"01/20/2007""  ""05:16:00 a01/p01",0516,"01/20/2007""  ""05:16:00 a01/p01",05:16,58,894141.21200000006,503428.23700000002,894654.130,504098.030
5501 SAN AMARO DR,,07000538,1,THF,THEFT FROM STRUCTURE  WITH LEGAL ACCESS / PUBLIC BUILDING,07U,"01/20/2007""  ""10:22:29 a01/p01",01/20/07,07/01/20 ,"01/19/2007""  ""16:00:00 a01/p01",1600,"01/20/2007""  ""09:30:00 a01/p01",16:00,#N/A,#N/A,#N/A,893582.810,505289.780
1239 THEO DICKINSON DR,,07000561,1,FDD,FD INJURED PERSON,07U,"01/20/2007""  ""20:57:24 a01/p01",01/20/07,07/01/20 ,"01/20/2007""  ""20:26:23 a01/p01",2026,"01/20/2007""  ""20:26:24 a01/p01",20:26,#N/A,#N/A,#N/A,894189.810,503659.940
5821 SAN AMARO DR,,07000586,1,VEI,VEHICLE PARKING OFFENSE / SCOFF LAW,07U,"01/22/2007""  ""00:00:00 a01/p01",01/22/07,07/01/22 ,"01/22/2007""  ""00:00:00 a01/p01",0906,"01/22/2007""  ""00:00:00 a01/p01",09:06,#N/A,#N/A,#N/A,894189.810,503659.940
1300 CAMPO SANO AV,,07000601,1,VEI,VEHICLE PARKING OFFENSE / SCOFF LAW,07U,"01/22/2007""  ""00:00:00 a01/p01",01/22/07,07/01/22 ,"01/22/2007""  ""00:00:00 a01/p01",1325,"01/22/2007""  ""00:00:00 a01/p01",13:25,#N/A,#N/A,#N/A,894383.750,505930.710
1306 STANFORD DR,,07000599,1,PRA,PROPERTY FOUND / IMPOUNDED,07U,"01/22/2007""  ""15:33:49 a01/p01",01/22/07,07/01/22 ,"11/ 1/2006""  ""00:00:00 a11/p11",0000,"01/22/2007""  ""15:00:00 a01/p01",00:00,31,893821.40300000005,504487.02600000001,895340.180,503859.210
5100 BRUNSON DR,BLK,07000603,1,THK,THEFT OTHER,07U,"01/22/2007""  ""17:35:55 a01/p01",01/22/07,07/01/22 ,"11/ 1/2006""  ""00:00:00 a11/p11",0000,"01/22/2007""  ""08:00:00 a01/p01",00:00,#N/A,#N/A,#N/A,894689.880,504124.530
1111 MEMORIAL DR,,07000623,1,VEI,VEHICLE PARKING OFFENSE / SCOFF LAW,07U,"01/23/2007""  ""00:00:00 a01/p01",01/23/07,07/01/23 ,"01/23/2007""  ""00:00:00 a01/p01",1205,"01/23/2007""  ""00:00:00 a01/p01",12:04,18,894105.66599999997,505505.27299999999,895326.750,503874.030
1306 STANFORD DR,,07000619,1,VEI,VEHICLE PARKING OFFENSE / SCOFF LAW,07U,"01/23/2007""  ""00:00:00 a01/p01",01/23/07,07/01/23 ,"01/23/2007""  ""00:00:00 a01/p01",0935,"01/23/2007""  ""00:00:00 a01/p01",09:35,31,893821.40300000005,504487.02600000001,894676.060,504097.910
1301 STANFORD DR,,07000629,1,VEI,VEHICLE PARKING OFFENSE / SCOFF LAW,07U,"01/23/2007""  ""00:00:00 a01/p01",01/23/07,07/01/23 ,"01/23/2007""  ""00:00:00 a01/p01",1430,"01/23/2007""  ""00:00:00 a01/p01",14:30,50,894666.745,504343.22399999999,893254.750,504971.780
1300 MEMORIAL DR,,07000621,1,THF,THEFT FROM STRUCTURE  WITH LEGAL ACCESS / PUBLIC BUILDING,07U,"01/23/2007""  ""09:56:00 a01/p01",01/23/07,07/01/23 ,"01/23/2007""  ""09:45:00 a01/p01",0945,"01/23/2007""  ""09:50:00 a01/p01",09:45,16,893634.74199999997,505003.36800000002,894689.880,504124.530
5185 PONCE DE LEON BLVD,,07000645,1,ZOA,TRESPASS WARNING,07U,"01/23/2007""  ""23:02:42 a01/p01",01/23/07,07/01/23 ,"01/23/2007""  ""23:02:41 a01/p01",2302,"01/23/2007""  ""23:02:42 a01/p01",23:02,#N/A,#N/A,#N/A,893255.060,504941.780
1300 MEMORIAL DR,,07000662,1,VEI,VEHICLE PARKING OFFENSE / SCOFF LAW,07U,"01/24/2007""  ""00:00:00 a01/p01",01/24/07,07/01/24 ,"01/24/2007""  ""00:00:00 a01/p01",1034,"01/24/2007""  ""00:00:00 a01/p01",10:34,16,893634.74199999997,505003.36800000002,893254.880,504971.780
1300 MEMORIAL DR,,07000663,1,VEI,VEHICLE PARKING OFFENSE / SCOFF LAW,07U,"01/24/2007""  ""00:00:00 a01/p01",01/24/07,07/01/24 ,"01/24/2007""  ""00:00:00 a01/p01",1044,"01/24/2007""  ""00:00:00 a01/p01",10:44,16,893634.74199999997,505003.36800000002,893580.690,504643.410
1301 STANFORD DR,,07000658,1,VEI,VEHICLE PARKING OFFENSE / SCOFF LAW,07U,"01/24/2007""  ""00:00:00 a01/p01",01/24/07,07/01/24 ,"01/24/2007""  ""00:00:00 a01/p01",1000,"01/24/2007""  ""00:00:00 a01/p01",10:00,50,894666.745,504343.22399999999,894330.060,503400.750
1301 STANFORD DR,,07000659,1,VEI,VEHICLE PARKING OFFENSE / SCOFF LAW,07U,"01/24/2007""  ""00:00:00 a01/p01",01/24/07,07/01/24 ,"01/24/2007""  ""00:00:00 a01/p01",1010,"01/24/2007""  ""00:00:00 a01/p01",10:10,50,894666.745,504343.22399999999,894330.060,503400.750
5185 PONCE DE LEON BLVD,,07000656,1,VEI,VEHICLE PARKING OFFENSE / SCOFF LAW,07U,"01/24/2007""  ""00:00:00 a01/p01",01/24/07,07/01/24 ,"01/24/2007""  ""00:00:00 a01/p01",0855,"01/24/2007""  ""00:00:00 a01/p01",08:55,#N/A,#N/A,#N/A,894330.060,503400.750
5200 UNIVERSITY DRIVE,,07000661,1,VEI,VEHICLE PARKING OFFENSE / SCOFF LAW,07U,"01/24/2007""  ""00:00:00 a01/p01",01/24/07,07/01/24 ,"01/24/2007""  ""00:00:00 a01/p01",1015,"01/24/2007""  ""00:00:00 a01/p01",10:15,#N/A,#N/A,#N/A,894419.940,504039.440
1211 MILLER DR,,07000670,1,VEI,VEHICLE PARKING OFFENSE / SCOFF LAW,07U,"01/24/2007""  ""00:00:00 a01/p01",01/24/07,07/01/24 ,"01/24/2007""  ""00:00:00 a01/p01",1256,"01/24/2007""  ""00:00:00 a01/p01",12:56,#N/A,#N/A,#N/A,893603.060,505267.690
5225 PONCE DE LEON BLVD,,07000649,1,ZOA,TRESPASS WARNING,07U,"01/24/2007""  ""02:35:33 a01/p01",01/24/07,07/01/24 ,"01/24/2007""  ""01:15:00 a01/p01",0115,"01/24/2007""  ""01:15:00 a01/p01",0.052083,53,894801.88399999996,503471.82400000002,894376.310,505924.030
1200 WILLIAM E WALSH AV,BLK,07000651,1,ALA,ALCOHOL JUVENILE VIOLATION,07U,"01/24/2007""  ""03:40:00 a01/p01",01/24/07,07/01/24 ,"01/24/2007""  ""03:40:00 a01/p01",0340,"01/24/2007""  ""03:40:00 a01/p01",03:39,#N/A,#N/A,#N/A,894412.440,504032.880
1200 WILLIAM E WALSH AV,BLK,07000651,1,DRA,DRUG POSSESSION CONTROLLED SUBSTANCE,07U,"01/24/2007""  ""03:40:00 a01/p01",01/24/07,07/01/24 ,"01/24/2007""  ""03:40:00 a01/p01",0340,"01/24/2007""  ""03:40:00 a01/p01",03:39,#N/A,#N/A,#N/A,893288.190,503307.880
1200 WILLIAM E WALSH AV,BLK,07000651,2,FRG,FRAUD POSSESSION OF COUNTERFEIT,07U,"01/24/2007""  ""03:40:00 a01/p01",01/24/07,07/01/24 ,"01/24/2007""  ""03:40:00 a01/p01",0340,"01/24/2007""  ""03:40:00 a01/p01",03:39,#N/A,#N/A,#N/A,893288.190,503307.880
1111 MEMORIAL DR,,07000690,1,VEI,VEHICLE PARKING OFFENSE / SCOFF LAW,07U,"01/25/2007""  ""00:00:00 a01/p01",01/25/07,07/01/25 ,"01/25/2007""  ""00:00:00 a01/p01",1049,"01/25/2007""  ""00:00:00 a01/p01",10:49,18,894105.66599999997,505505.27299999999,894931.810,505209.500
5615 PAVIA ST,,07000688,1,VEI,VEHICLE PARKING OFFENSE / SCOFF LAW,07U,"01/25/2007""  ""00:00:00 a01/p01",01/25/07,07/01/25 ,"01/25/2007""  ""00:00:00 a01/p01",1050,"01/25/2007""  ""00:00:00 a01/p01",10:50,54,894485.30200000003,503768.17499999999,893202.500,503207.000
5100 BRUNSON DR,,07000689,1,VEI,VEHICLE PARKING OFFENSE / SCOFF LAW,07U,"01/25/2007""  ""00:00:00 a01/p01",01/25/07,07/01/25 ,"01/25/2007""  ""00:00:00 a01/p01",1033,"01/25/2007""  ""00:00:00 a01/p01",10:33,#N/A,#N/A,#N/A,892157.060,502383.430
5615 PAVIA ST,,07000708,1,SCE,SIMPLE HARASSMENT,07U,"01/25/2007""  ""22:43:45 a01/p01",01/25/07,07/01/25 ,"01/25/2007""  ""09:45:00 a01/p01",0945,"01/25/2007""  ""16:00:45 a01/p01",09:45,54,894485.30200000003,503768.17499999999,893866.250,503637.750
1231 THEO DICKINSON DR,PT 203,07000713,1,ZOI,SUICIDE ATTEMPT / THREATS,07U,"01/26/2007""  ""02:45:00 a01/p01",01/26/07,07/01/26 ,"01/26/2007""  ""00:15:00 a01/p01",0015,"01/26/2007""  ""01:30:00 a01/p01",0.010417,#N/A,#N/A,#N/A,893255.060,504941.780
1231 THEO DICKINSON DR,PT 203,07000713,2,ZOJ,BAKER / MARCHMAN ACT,07U,"01/26/2007""  ""02:45:00 a01/p01",01/26/07,07/01/26 ,"01/26/2007""  ""00:15:00 a01/p01",0015,"01/26/2007""  ""01:30:00 a01/p01",0.010417,#N/A,#N/A,#N/A,894277.560,506034.280
5250 UNIVERSITY DR,,07000711,1,SCA,SIMPLE BATTERY,07U,"01/26/2007""  ""05:23:15 a01/p01",01/26/07,07/01/26 ,"01/25/2007""  ""16:45:00 a01/p01",1645,"01/25/2007""  ""16:45:00 a01/p01",16:45,#N/A,#N/A,#N/A,895202.880,503586.780
1239 THEO DICKINSON DR,RT 1005,07000790,1,FRE,FRAUD BY IDENTITY THEFT / IMPERSONATION,07U,"01/28/2007""  ""15:51:21 a01/p01",01/28/07,07/01/28 ,"01/26/2007""  ""15:30:00 a01/p01",1530,"01/26/2007""  ""15:30:00 a01/p01",15:30,#N/A,#N/A,#N/A,893866.250,503637.750
1221 WILLIAM E WALSH AV,43D,07000794,1,SCB,SIMPLE ASSAULT / THREATS,07U,"01/28/2007""  ""19:32:23 a01/p01",01/28/07,07/01/28 ,"01/28/2007""  ""19:32:22 a01/p01",1932,"01/28/2007""  ""19:32:23 a01/p01",19:32,60,893899.23800000001,503195.21100000001,893866.250,503637.750
1111 MEMORIAL DR,,07000807,1,VEI,VEHICLE PARKING OFFENSE / SCOFF LAW,07U,"01/29/2007""  ""00:00:00 a01/p01",01/29/07,07/01/29 ,"01/29/2007""  ""00:00:00 a01/p01",0842,"01/29/2007""  ""00:00:00 a01/p01",08:42,18,894105.66599999997,505505.27299999999,893582.810,505289.780
5050 BRUNSON DR,,07000816,1,VEI,VEHICLE PARKING OFFENSE / SCOFF LAW,07U,"01/29/2007""  ""00:00:00 a01/p01",01/29/07,07/01/29 ,"01/29/2007""  ""00:00:00 a01/p01",1235,"01/29/2007""  ""00:00:00 a01/p01",12:35,20,894420.18700000003,505665.27899999998,893582.810,505289.780
5050 BRUNSON DR,,07000822,1,VEI,VEHICLE PARKING OFFENSE / SCOFF LAW,07U,"01/29/2007""  ""00:00:00 a01/p01",01/29/07,07/01/29 ,"01/29/2007""  ""00:00:00 a01/p01",1515,"01/29/2007""  ""00:00:00 a01/p01",15:15,20,894420.18700000003,505665.27899999998,894277.560,506034.280
5821 SAN AMARO DR,,07000809,1,VEI,VEHICLE PARKING OFFENSE / SCOFF LAW,07U,"01/29/2007""  ""00:00:00 a01/p01",01/29/07,07/01/29 ,"01/29/2007""  ""00:00:00 a01/p01",0910,"01/29/2007""  ""00:00:00 a01/p01",09:10,#N/A,#N/A,#N/A,892161.250,502788.720
1311 MILLER DR,,07000811,1,VEI,VEHICLE PARKING OFFENSE / SCOFF LAW,07U,"01/29/2007""  ""00:00:00 a01/p01",01/29/07,07/01/29 ,"01/29/2007""  ""00:00:00 a01/p01",1030,"01/29/2007""  ""00:00:00 a01/p01",10:30,#N/A,#N/A,#N/A,893866.250,503637.750
1211 THEO DICKINSON DR,,07000821,1,VEI,VEHICLE PARKING OFFENSE / SCOFF LAW,07U,"01/29/2007""  ""00:00:00 a01/p01",01/29/07,07/01/29 ,"01/29/2007""  ""00:00:00 a01/p01",1510,"01/29/2007""  ""00:00:00 a01/p01",15:10,#N/A,#N/A,#N/A,894285.000,506040.970
