Address1,Apt,Case,Pri_Offens,Off_Code,Offense,tract,date_rept,date_occ,date_fnd,FID,X,Y
1306 STANFORD DR,,07000399,1,THF,THEFT FROM STRUCTURE  WITH LEGAL ACCESS / PUBLIC BUILDING,07U,"01/16/2007""  ""13:30:50 a01/p01","01/12/2007""  ""16:00:00 a01/p01","01/12/2007""  ""20:30:00 a01/p01",31,893821.40300000005,504487.02600000001
1211 THEO DICKINSON DR,,07000403,1,PRA,PROPERTY FOUND / IMPOUNDED,07U,"01/16/2007""  ""16:16:29 a01/p01","01/16/2007""  ""15:18:00 a01/p01","01/16/2007""  ""15:18:00 a01/p01",#N/A,#N/A,#N/A
1239 THEO DICKINSON DR,,07000405,1,TVA,THEFT OF AUTOMOBILE,07U,"01/16/2007""  ""17:50:06 a01/p01","01/16/2007""  ""02:00:00 a01/p01","01/16/2007""  ""15:50:00 a01/p01",#N/A,#N/A,#N/A
5200 BRUNSON DR,,07000409,1,THC,THEFT FROM MOTOR VEHICLE,07U,"01/16/2007""  ""18:13:06 a01/p01","01/16/2007""  ""18:13:05 a01/p01","01/16/2007""  ""18:13:06 a01/p01",24,894706.67700000003,505424.42
5200 BRUNSON DR,,07000409,2,VAB,VANDALISM TO VEHICLE,07U,"01/16/2007""  ""18:13:06 a01/p01","01/16/2007""  ""18:13:05 a01/p01","01/16/2007""  ""18:13:06 a01/p01",24,894706.67700000003,505424.42
5400 PONCE DE LEON BLVD,2,07000413,1,ASA,ASSIST LAW AGENCY,07U,"01/16/2007""  ""20:48:08 a01/p01","01/16/2007""  ""20:45:00 a01/p01","01/16/2007""  ""20:47:04 a01/p01",#N/A,#N/A,#N/A
5050 BRUNSON DR,,07000425,1,VEI,VEHICLE PARKING OFFENSE / SCOFF LAW,07U,"01/17/2007""  ""00:00:00 a01/p01","01/17/2007""  ""00:00:00 a01/p01","01/17/2007""  ""00:00:00 a01/p01",20,894420.18700000003,505665.27899999998
5050 BRUNSON DR,,07000426,1,VEI,VEHICLE PARKING OFFENSE / SCOFF LAW,07U,"01/17/2007""  ""00:00:00 a01/p01","01/17/2007""  ""00:00:00 a01/p01","01/17/2007""  ""00:00:00 a01/p01",20,894420.18700000003,505665.27899999998
5183 PONCE DE LEON BLVD,,07000419,1,VEI,VEHICLE PARKING OFFENSE / SCOFF LAW,07U,"01/17/2007""  ""00:00:00 a01/p01","01/17/2007""  ""00:00:00 a01/p01","01/17/2007""  ""00:00:00 a01/p01",49,895569.78700000001,504323.94
1306 STANFORD DR,,06009809,1,THC,THEFT FROM MOTOR VEHICLE,07U,"01/17/2007""  ""02:35:00 a01/p01","10/31/2006""  ""22:30:00 a10/p10","10/31/2006""  ""23:00:00 a10/p10",432,894239.15800000005,504433.315
5850 SAN AMARO DR,205,07000438,1,PRA,PROPERTY FOUND / IMPOUNDED,07U,"01/17/2007""  ""16:10:26 a01/p01","01/17/2007""  ""16:10:25 a01/p01","01/17/2007""  ""16:10:26 a01/p01",111,892024.495,502487.71799999999
5050 BRUNSON DR,,07000456,1,VEI,VEHICLE PARKING OFFENSE / SCOFF LAW,07U,"01/18/2007""  ""00:00:00 a01/p01","01/18/2007""  ""00:00:00 a01/p01","01/18/2007""  ""00:00:00 a01/p01",20,894420.18700000003,505665.27899999998
5100 BRUNSON DR,,07000454,1,VEI,VEHICLE PARKING OFFENSE / SCOFF LAW,07U,"01/18/2007""  ""00:00:00 a01/p01","01/18/2007""  ""00:00:00 a01/p01","01/18/2007""  ""00:00:00 a01/p01",#N/A,#N/A,#N/A
5185 PONCE DE LEON BLVD,4451,07000455,2,BUA,BURGLARY RESIDENTIAL,07U,"01/18/2007""  ""11:50:00 a01/p01","01/18/2007""  ""05:00:00 a01/p01","01/18/2007""  ""06:00:00 a01/p01",#N/A,#N/A,#N/A
5185 PONCE DE LEON BLVD,4451,07000455,1,SXA,SEXUAL FEMALE RAPE,07U,"01/18/2007""  ""11:50:00 a01/p01","01/18/2007""  ""05:00:00 a01/p01","01/18/2007""  ""06:00:00 a01/p01",#N/A,#N/A,#N/A
5185 PONCE DE LEON BLVD,4451,07000455,2,THK,THEFT OTHER,07U,"01/18/2007""  ""11:50:00 a01/p01","01/18/2007""  ""05:00:00 a01/p01","01/18/2007""  ""06:00:00 a01/p01",#N/A,#N/A,#N/A
1303 STANFORD DR,,07000486,1,ZOD,INCIDENT REPORT,07U,"01/18/2007""  ""23:31:17 a01/p01","01/18/2007""  ""23:31:00 a01/p01","01/18/2007""  ""23:31:00 a01/p01",43,894817.86600000004,504665.10800000001
1111 MEMORIAL DR,,07000497,1,VEI,VEHICLE PARKING OFFENSE / SCOFF LAW,07U,"01/19/2007""  ""00:00:00 a01/p01","01/19/2007""  ""00:00:00 a01/p01","01/19/2007""  ""00:00:00 a01/p01",18,894105.66599999997,505505.27299999999
5050 BRUNSON DR,,07000508,1,VEI,VEHICLE PARKING OFFENSE / SCOFF LAW,07U,"01/19/2007""  ""00:00:00 a01/p01","01/19/2007""  ""00:00:00 a01/p01","01/19/2007""  ""00:00:00 a01/p01",20,894420.18700000003,505665.27899999998
5183 PONCE DE LEON BLVD,,07000495,1,VEI,VEHICLE PARKING OFFENSE / SCOFF LAW,07U,"01/19/2007""  ""00:00:00 a01/p01","01/19/2007""  ""00:00:00 a01/p01","01/19/2007""  ""00:00:00 a01/p01",49,895569.78700000001,504323.94
1551 BRESCIA AV,,07000494,1,VEI,VEHICLE PARKING OFFENSE / SCOFF LAW,07U,"01/19/2007""  ""00:00:00 a01/p01","01/19/2007""  ""00:00:00 a01/p01","01/19/2007""  ""00:00:00 a01/p01",99,891580.03899999999,501686.75099999999
5665 PONCE DE LEON BLVD,,07000506,1,PRB,PROPERTY LOST,07U,"01/19/2007""  ""12:32:05 a01/p01","11/24/2006""  ""13:00:00 a11/p11","12/ 2/2006""  ""18:00:05 a12/p12",#N/A,#N/A,#N/A
5616 GEORGE E MERRICK ST,315,07000532,2,ALA,ALCOHOL JUVENILE VIOLATION,07U,"01/20/2007""  ""00:00:00 a01/p01","01/20/2007""  ""00:00:00 a01/p01","01/20/2007""  ""00:00:00 a01/p01",#N/A,#N/A,#N/A
5616 GEORGE E MERRICK ST,315,07000532,1,FRG,FRAUD POSSESSION OF COUNTERFEIT,07U,"01/20/2007""  ""00:00:00 a01/p01","01/20/2007""  ""00:00:00 a01/p01","01/20/2007""  ""00:00:00 a01/p01",#N/A,#N/A,#N/A
1203 WILLIAM E WALSH AV,F,07000533,2,ALA,ALCOHOL JUVENILE VIOLATION,07U,"01/20/2007""  ""05:16:00 a01/p01","01/20/2007""  ""05:16:00 a01/p01","01/20/2007""  ""05:16:00 a01/p01",58,894141.21200000006,503428.23700000002
1203 WILLIAM E WALSH AV,F,07000533,1,FRG,FRAUD POSSESSION OF COUNTERFEIT,07U,"01/20/2007""  ""05:16:00 a01/p01","01/20/2007""  ""05:16:00 a01/p01","01/20/2007""  ""05:16:00 a01/p01",58,894141.21200000006,503428.23700000002
5501 SAN AMARO DR,,07000538,1,THF,THEFT FROM STRUCTURE  WITH LEGAL ACCESS / PUBLIC BUILDING,07U,"01/20/2007""  ""10:22:29 a01/p01","01/19/2007""  ""16:00:00 a01/p01","01/20/2007""  ""09:30:00 a01/p01",#N/A,#N/A,#N/A
1239 THEO DICKINSON DR,,07000561,1,FDD,FD INJURED PERSON,07U,"01/20/2007""  ""20:57:24 a01/p01","01/20/2007""  ""20:26:23 a01/p01","01/20/2007""  ""20:26:24 a01/p01",#N/A,#N/A,#N/A
5821 SAN AMARO DR,,07000586,1,VEI,VEHICLE PARKING OFFENSE / SCOFF LAW,07U,"01/22/2007""  ""00:00:00 a01/p01","01/22/2007""  ""00:00:00 a01/p01","01/22/2007""  ""00:00:00 a01/p01",#N/A,#N/A,#N/A
1300 CAMPO SANO AV,,07000601,1,VEI,VEHICLE PARKING OFFENSE / SCOFF LAW,07U,"01/22/2007""  ""00:00:00 a01/p01","01/22/2007""  ""00:00:00 a01/p01","01/22/2007""  ""00:00:00 a01/p01",#N/A,#N/A,#N/A
1306 STANFORD DR,,07000599,1,PRA,PROPERTY FOUND / IMPOUNDED,07U,"01/22/2007""  ""15:33:49 a01/p01","11/ 1/2006""  ""00:00:00 a11/p11","01/22/2007""  ""15:00:00 a01/p01",31,893821.40300000005,504487.02600000001
5100 BRUNSON DR,BLK,07000603,1,THK,THEFT OTHER,07U,"01/22/2007""  ""17:35:55 a01/p01","11/ 1/2006""  ""00:00:00 a11/p11","01/22/2007""  ""08:00:00 a01/p01",#N/A,#N/A,#N/A
1111 MEMORIAL DR,,07000623,1,VEI,VEHICLE PARKING OFFENSE / SCOFF LAW,07U,"01/23/2007""  ""00:00:00 a01/p01","01/23/2007""  ""00:00:00 a01/p01","01/23/2007""  ""00:00:00 a01/p01",18,894105.66599999997,505505.27299999999
1306 STANFORD DR,,07000619,1,VEI,VEHICLE PARKING OFFENSE / SCOFF LAW,07U,"01/23/2007""  ""00:00:00 a01/p01","01/23/2007""  ""00:00:00 a01/p01","01/23/2007""  ""00:00:00 a01/p01",31,893821.40300000005,504487.02600000001
1301 STANFORD DR,,07000629,1,VEI,VEHICLE PARKING OFFENSE / SCOFF LAW,07U,"01/23/2007""  ""00:00:00 a01/p01","01/23/2007""  ""00:00:00 a01/p01","01/23/2007""  ""00:00:00 a01/p01",50,894666.745,504343.22399999999
1300 MEMORIAL DR,,07000621,1,THF,THEFT FROM STRUCTURE  WITH LEGAL ACCESS / PUBLIC BUILDING,07U,"01/23/2007""  ""09:56:00 a01/p01","01/23/2007""  ""09:45:00 a01/p01","01/23/2007""  ""09:50:00 a01/p01",16,893634.74199999997,505003.36800000002
5185 PONCE DE LEON BLVD,,07000645,1,ZOA,TRESPASS WARNING,07U,"01/23/2007""  ""23:02:42 a01/p01","01/23/2007""  ""23:02:41 a01/p01","01/23/2007""  ""23:02:42 a01/p01",#N/A,#N/A,#N/A
1300 MEMORIAL DR,,07000662,1,VEI,VEHICLE PARKING OFFENSE / SCOFF LAW,07U,"01/24/2007""  ""00:00:00 a01/p01","01/24/2007""  ""00:00:00 a01/p01","01/24/2007""  ""00:00:00 a01/p01",16,893634.74199999997,505003.36800000002
1300 MEMORIAL DR,,07000663,1,VEI,VEHICLE PARKING OFFENSE / SCOFF LAW,07U,"01/24/2007""  ""00:00:00 a01/p01","01/24/2007""  ""00:00:00 a01/p01","01/24/2007""  ""00:00:00 a01/p01",16,893634.74199999997,505003.36800000002
1301 STANFORD DR,,07000658,1,VEI,VEHICLE PARKING OFFENSE / SCOFF LAW,07U,"01/24/2007""  ""00:00:00 a01/p01","01/24/2007""  ""00:00:00 a01/p01","01/24/2007""  ""00:00:00 a01/p01",50,894666.745,504343.22399999999
1301 STANFORD DR,,07000659,1,VEI,VEHICLE PARKING OFFENSE / SCOFF LAW,07U,"01/24/2007""  ""00:00:00 a01/p01","01/24/2007""  ""00:00:00 a01/p01","01/24/2007""  ""00:00:00 a01/p01",50,894666.745,504343.22399999999
5185 PONCE DE LEON BLVD,,07000656,1,VEI,VEHICLE PARKING OFFENSE / SCOFF LAW,07U,"01/24/2007""  ""00:00:00 a01/p01","01/24/2007""  ""00:00:00 a01/p01","01/24/2007""  ""00:00:00 a01/p01",#N/A,#N/A,#N/A
5200 UNIVERSITY DRIVE,,07000661,1,VEI,VEHICLE PARKING OFFENSE / SCOFF LAW,07U,"01/24/2007""  ""00:00:00 a01/p01","01/24/2007""  ""00:00:00 a01/p01","01/24/2007""  ""00:00:00 a01/p01",#N/A,#N/A,#N/A
1211 MILLER DR,,07000670,1,VEI,VEHICLE PARKING OFFENSE / SCOFF LAW,07U,"01/24/2007""  ""00:00:00 a01/p01","01/24/2007""  ""00:00:00 a01/p01","01/24/2007""  ""00:00:00 a01/p01",#N/A,#N/A,#N/A
5225 PONCE DE LEON BLVD,,07000649,1,ZOA,TRESPASS WARNING,07U,"01/24/2007""  ""02:35:33 a01/p01","01/24/2007""  ""01:15:00 a01/p01","01/24/2007""  ""01:15:00 a01/p01",53,894801.88399999996,503471.82400000002
1200 WILLIAM E WALSH AV,BLK,07000651,1,ALA,ALCOHOL JUVENILE VIOLATION,07U,"01/24/2007""  ""03:40:00 a01/p01","01/24/2007""  ""03:40:00 a01/p01","01/24/2007""  ""03:40:00 a01/p01",#N/A,#N/A,#N/A
1200 WILLIAM E WALSH AV,BLK,07000651,1,DRA,DRUG POSSESSION CONTROLLED SUBSTANCE,07U,"01/24/2007""  ""03:40:00 a01/p01","01/24/2007""  ""03:40:00 a01/p01","01/24/2007""  ""03:40:00 a01/p01",#N/A,#N/A,#N/A
1200 WILLIAM E WALSH AV,BLK,07000651,2,FRG,FRAUD POSSESSION OF COUNTERFEIT,07U,"01/24/2007""  ""03:40:00 a01/p01","01/24/2007""  ""03:40:00 a01/p01","01/24/2007""  ""03:40:00 a01/p01",#N/A,#N/A,#N/A
1111 MEMORIAL DR,,07000690,1,VEI,VEHICLE PARKING OFFENSE / SCOFF LAW,07U,"01/25/2007""  ""00:00:00 a01/p01","01/25/2007""  ""00:00:00 a01/p01","01/25/2007""  ""00:00:00 a01/p01",18,894105.66599999997,505505.27299999999
5615 PAVIA ST,,07000688,1,VEI,VEHICLE PARKING OFFENSE / SCOFF LAW,07U,"01/25/2007""  ""00:00:00 a01/p01","01/25/2007""  ""00:00:00 a01/p01","01/25/2007""  ""00:00:00 a01/p01",54,894485.30200000003,503768.17499999999
5100 BRUNSON DR,,07000689,1,VEI,VEHICLE PARKING OFFENSE / SCOFF LAW,07U,"01/25/2007""  ""00:00:00 a01/p01","01/25/2007""  ""00:00:00 a01/p01","01/25/2007""  ""00:00:00 a01/p01",#N/A,#N/A,#N/A
5615 PAVIA ST,,07000708,1,SCE,SIMPLE HARASSMENT,07U,"01/25/2007""  ""22:43:45 a01/p01","01/25/2007""  ""09:45:00 a01/p01","01/25/2007""  ""16:00:45 a01/p01",54,894485.30200000003,503768.17499999999
1231 THEO DICKINSON DR,PT 203,07000713,1,ZOI,SUICIDE ATTEMPT / THREATS,07U,"01/26/2007""  ""02:45:00 a01/p01","01/26/2007""  ""00:15:00 a01/p01","01/26/2007""  ""01:30:00 a01/p01",#N/A,#N/A,#N/A
1231 THEO DICKINSON DR,PT 203,07000713,2,ZOJ,BAKER / MARCHMAN ACT,07U,"01/26/2007""  ""02:45:00 a01/p01","01/26/2007""  ""00:15:00 a01/p01","01/26/2007""  ""01:30:00 a01/p01",#N/A,#N/A,#N/A
5250 UNIVERSITY DR,,07000711,1,SCA,SIMPLE BATTERY,07U,"01/26/2007""  ""05:23:15 a01/p01","01/25/2007""  ""16:45:00 a01/p01","01/25/2007""  ""16:45:00 a01/p01",#N/A,#N/A,#N/A
1239 THEO DICKINSON DR,RT 1005,07000790,1,FRE,FRAUD BY IDENTITY THEFT / IMPERSONATION,07U,"01/28/2007""  ""15:51:21 a01/p01","01/26/2007""  ""15:30:00 a01/p01","01/26/2007""  ""15:30:00 a01/p01",#N/A,#N/A,#N/A
1221 WILLIAM E WALSH AV,43D,07000794,1,SCB,SIMPLE ASSAULT / THREATS,07U,"01/28/2007""  ""19:32:23 a01/p01","01/28/2007""  ""19:32:22 a01/p01","01/28/2007""  ""19:32:23 a01/p01",60,893899.23800000001,503195.21100000001
1111 MEMORIAL DR,,07000807,1,VEI,VEHICLE PARKING OFFENSE / SCOFF LAW,07U,"01/29/2007""  ""00:00:00 a01/p01","01/29/2007""  ""00:00:00 a01/p01","01/29/2007""  ""00:00:00 a01/p01",18,894105.66599999997,505505.27299999999
5050 BRUNSON DR,,07000816,1,VEI,VEHICLE PARKING OFFENSE / SCOFF LAW,07U,"01/29/2007""  ""00:00:00 a01/p01","01/29/2007""  ""00:00:00 a01/p01","01/29/2007""  ""00:00:00 a01/p01",20,894420.18700000003,505665.27899999998
5050 BRUNSON DR,,07000822,1,VEI,VEHICLE PARKING OFFENSE / SCOFF LAW,07U,"01/29/2007""  ""00:00:00 a01/p01","01/29/2007""  ""00:00:00 a01/p01","01/29/2007""  ""00:00:00 a01/p01",20,894420.18700000003,505665.27899999998
5821 SAN AMARO DR,,07000809,1,VEI,VEHICLE PARKING OFFENSE / SCOFF LAW,07U,"01/29/2007""  ""00:00:00 a01/p01","01/29/2007""  ""00:00:00 a01/p01","01/29/2007""  ""00:00:00 a01/p01",#N/A,#N/A,#N/A
1311 MILLER DR,,07000811,1,VEI,VEHICLE PARKING OFFENSE / SCOFF LAW,07U,"01/29/2007""  ""00:00:00 a01/p01","01/29/2007""  ""00:00:00 a01/p01","01/29/2007""  ""00:00:00 a01/p01",#N/A,#N/A,#N/A
1211 THEO DICKINSON DR,,07000821,1,VEI,VEHICLE PARKING OFFENSE / SCOFF LAW,07U,"01/29/2007""  ""00:00:00 a01/p01","01/29/2007""  ""00:00:00 a01/p01","01/29/2007""  ""00:00:00 a01/p01",#N/A,#N/A,#N/A
1211 THEO DICKINSON DR,,07000823,1,VEI,VEHICLE PARKING OFFENSE / SCOFF LAW,07U,"01/29/2007""  ""00:00:00 a01/p01","01/29/2007""  ""00:00:00 a01/p01","01/29/2007""  ""00:00:00 a01/p01",#N/A,#N/A,#N/A
1500 ALBENGA AV,,07000820,1,PRA,PROPERTY FOUND / IMPOUNDED,07U,"01/29/2007""  ""15:25:05 a01/p01","01/29/2007""  ""15:10:04 a01/p01","01/29/2007""  ""15:12:00 a01/p01",#N/A,#N/A,#N/A
1311 MILLER DR,F408A,07000824,1,BUB,BURGLARY NON-RESIDENTIAL,07U,"01/29/2007""  ""15:51:39 a01/p01","01/ 5/2007""  ""19:00:00 a01/p01","01/16/2007""  ""09:00:00 a01/p01",#N/A,#N/A,#N/A
1311 MILLER DR,F408A,07000824,2,THK,THEFT OTHER,07U,"01/29/2007""  ""15:51:39 a01/p01","01/ 5/2007""  ""19:00:00 a01/p01","01/16/2007""  ""09:00:00 a01/p01",#N/A,#N/A,#N/A
1300 MEMORIAL DR,,07000874,1,VEI,VEHICLE PARKING OFFENSE / SCOFF LAW,07U,"01/30/2007""  ""00:00:00 a01/p01","01/30/2007""  ""00:00:00 a01/p01","01/30/2007""  ""00:00:00 a01/p01",16,893634.74199999997,505003.36800000002
1111 MEMORIAL DR,,07000840,1,VEI,VEHICLE PARKING OFFENSE / SCOFF LAW,07U,"01/30/2007""  ""00:00:00 a01/p01","01/30/2007""  ""00:00:00 a01/p01","01/30/2007""  ""00:00:00 a01/p01",18,894105.66599999997,505505.27299999999
1111 MEMORIAL DR,,07000863,1,VEI,VEHICLE PARKING OFFENSE / SCOFF LAW,07U,"01/30/2007""  ""00:00:00 a01/p01","01/30/2007""  ""00:00:00 a01/p01","01/30/2007""  ""00:00:00 a01/p01",18,894105.66599999997,505505.27299999999
5050 BRUNSON DR,,07000859,1,VEI,VEHICLE PARKING OFFENSE / SCOFF LAW,07U,"01/30/2007""  ""00:00:00 a01/p01","01/30/2007""  ""00:00:00 a01/p01","01/30/2007""  ""00:00:00 a01/p01",20,894420.18700000003,505665.27899999998
1211 THEO DICKINSON DR,,07000841,1,VEI,VEHICLE PARKING OFFENSE / SCOFF LAW,07U,"01/30/2007""  ""00:00:00 a01/p01","01/30/2007""  ""00:00:00 a01/p01","01/30/2007""  ""00:00:00 a01/p01",#N/A,#N/A,#N/A
5821 SAN AMARO DR,,07000843,1,VEI,VEHICLE PARKING OFFENSE / SCOFF LAW,07U,"01/30/2007""  ""00:00:00 a01/p01","01/30/2007""  ""00:00:00 a01/p01","01/30/2007""  ""00:00:00 a01/p01",#N/A,#N/A,#N/A
1211 THEO DICKINSON DR,,07000846,1,VEI,VEHICLE PARKING OFFENSE / SCOFF LAW,07U,"01/30/2007""  ""00:00:00 a01/p01","01/30/2007""  ""00:00:00 a01/p01","01/30/2007""  ""00:00:00 a01/p01",#N/A,#N/A,#N/A
1101 STANFORD DR,,07000849,1,VEI,VEHICLE PARKING OFFENSE / SCOFF LAW,07U,"01/30/2007""  ""00:00:00 a01/p01","01/30/2007""  ""00:00:00 a01/p01","01/30/2007""  ""00:00:00 a01/p01",#N/A,#N/A,#N/A
1525 ALBENGA AV,,07000835,1,SCE,SIMPLE HARASSMENT,07U,"01/30/2007""  ""01:55:27 a01/p01","01/30/2007""  ""00:35:26 a01/p01","01/30/2007""  ""00:35:27 a01/p01",109,891786.45900000003,502485.90500000003
1300 MILLER DR,,07000837,2,ALA,ALCOHOL JUVENILE VIOLATION,07U,"01/30/2007""  ""04:28:00 a01/p01","01/30/2007""  ""04:28:00 a01/p01","01/30/2007""  ""04:28:00 a01/p01",#N/A,#N/A,#N/A
1300 MILLER DR,,07000837,1,VEA,VEHICLE DRIVING / BOATING UNDER THE INFLUENCE,07U,"01/30/2007""  ""04:28:00 a01/p01","01/30/2007""  ""04:28:00 a01/p01","01/30/2007""  ""04:28:00 a01/p01",#N/A,#N/A,#N/A
1525 ALBENGA AV,,07000853,1,DIA,DISTURBANCE DOMESTIC,07U,"01/30/2007""  ""11:33:48 a01/p01","01/30/2007""  ""11:10:00 a01/p01","01/30/2007""  ""11:15:00 a01/p01",109,891786.45900000003,502485.90500000003
11OO STANFORD DR,BLK,07000875,1,SCA,SIMPLE BATTERY,07U,"01/30/2007""  ""18:23:10 a01/p01","01/30/2007""  ""18:15:00 a01/p01","01/30/2007""  ""18:23:00 a01/p01",#N/A,#N/A,#N/A
1111 MEMORIAL DR,,07000885,1,VEI,VEHICLE PARKING OFFENSE / SCOFF LAW,07U,"01/31/2007""  ""00:00:00 a01/p01","01/31/2007""  ""00:00:00 a01/p01","01/31/2007""  ""00:00:00 a01/p01",18,894105.66599999997,505505.27299999999
5183 PONCE DE LEON BLVD,,07000886,1,VEI,VEHICLE PARKING OFFENSE / SCOFF LAW,07U,"01/31/2007""  ""00:00:00 a01/p01","01/31/2007""  ""00:00:00 a01/p01","01/31/2007""  ""00:00:00 a01/p01",49,895569.78700000001,504323.94
1241 THEO DICKINSON DR,,07000897,1,VEI,VEHICLE PARKING OFFENSE / SCOFF LAW,07U,"01/31/2007""  ""00:00:00 a01/p01","01/31/2007""  ""00:00:00 a01/p01","01/31/2007""  ""00:00:00 a01/p01",81,892858.31700000004,503002.52299999999
1241 THEO DICKINSON DR,,07000898,1,VEI,VEHICLE PARKING OFFENSE / SCOFF LAW,07U,"01/31/2007""  ""00:00:00 a01/p01","01/31/2007""  ""00:00:00 a01/p01","01/31/2007""  ""00:00:00 a01/p01",81,892858.31700000004,503002.52299999999
