address,apt,case,primary_offense,offense_code,offense,tract,date_rept,date_occu,hour_occu,date_fnd,hour_fnd,fid,x,y
1239 DICKINSON DR,,13000484,2,PRA,PROPERTY FOUND / IMPOUNDED,07U,2013-01-21,2013-01-21,1258,2013-01-21,1305,,,
5185 PONCE DE LEON BLVD,,13000497,1,ZOM,INTOXICATED PERSON,07U,2013-01-21,2013-01-21,1855,2013-01-21,1915,,,
5665 PONCE DE LEON BLVD,,13000526,1,VEL,VEHICLE TRAFFIC CRASH,07U,2013-01-22,2013-01-22,1451,2013-01-22,1451,,,
1210 STANFORD DR,,13000532,1,ZOA,TRESPASS WARNING,07U,2013-01-22,2013-01-22,1852,2013-01-22,1852,,,
1211 DICKINSON DR,,13000544,1,PRB,PROPERTY LOST,07U,2013-01-23,2013-01-22,1430,2013-01-22,1700,,,
1585 ALBENGA AV,3111,13000546,1,PRB,PROPERTY LOST,07U,2013-01-23,2013-01-21,2200,2013-01-22,0130,,,
5250 UNIVERSITY DR,,13000547,1,ZOA,TRESPASS WARNING,07U,2013-01-23,2013-01-23,1115,2013-01-23,1124,,,
1239 DICKINSON DR,,13000560,1,ZOQ,ULEAD,07U,2013-01-23,2013-01-23,1715,2013-01-23,1719,,,
5500 PONCE DE LEON BLVD,BLK,13000565,1,ZOQ,ULEAD,07U,2013-01-23,2013-01-23,2335,2013-01-23,2335,596,893085.93900000001,501909.61599999998
1239 DICKINSON DR,,13000574,1,ZOA,TRESPASS WARNING,07U,2013-01-24,2013-01-24,1100,2013-01-24,1100,,,
1535 LEVANTE AV,,13000582,1,ZOA,TRESPASS WARNING,07U,2013-01-24,2013-01-24,1301,2013-01-24,1304,,,
5150 BRUNSON DR,,13000587,1,VEL,VEHICLE TRAFFIC CRASH,07U,2013-01-24,2013-01-24,1450,2013-01-24,1450,,,
1231 DICKINSON DR,,13000590,1,FDD,FD SICK/INJURED PERSON,07U,2013-01-24,2013-01-24,1016,2013-01-24,1020,,,
6200 SAN AMARO DR,,13000599,1,ZOB,WARRANT ARREST,07U,2013-01-25,2013-01-24,2230,2013-01-24,2235,,,
1231 DICKINSON DR,MT1208,13000600,2,PRA,PROPERTY FOUND / IMPOUNDED,07U,2013-01-25,2013-01-24,1141,2013-01-25,0005,,,
1231 DICKINSON DR,MT1208,13000600,1,ZOQ,ULEAD,07U,2013-01-25,2013-01-24,1141,2013-01-25,0005,,,
6403 RED RD/SW 64TH ST,,13000622,1,VEL,VEHICLE TRAFFIC CRASH,07U,2013-01-25,2013-01-25,1445,2013-01-25,1445,,,
1306 STANFORD DR,,13000624,1,ZOA,TRESPASS WARNING,07U,2013-01-25,2013-01-25,1511,2013-01-25,1511,,,
1299 DICKINSON DR/PONCE DE LEON BLVD,,13000625,1,VEL,VEHICLE TRAFFIC CRASH,07U,2013-01-25,2013-01-25,1547,2013-01-25,1547,,,
1300 MEMORIAL DR,,13000627,1,PRB,PROPERTY LOST,07U,2013-01-25,2013-01-25,1500,2013-01-25,1600,,,
1231 DICKINSON DR,,13000630,1,DRA,DRUG POSSESSION CONTROLLED SUBSTANCE,07U,2013-01-25,2013-01-25,1650,2013-01-25,1656,,,
1231 DICKINSON DR,,13000630,2,DRF,DRUG POSSESSION OF PARAPHERNALIA / EQUIPMENT,07U,2013-01-25,2013-01-25,1650,2013-01-25,1656,,,
1231 DICKINSON DR,,13000630,2,PRA,PROPERTY FOUND / IMPOUNDED,07U,2013-01-25,2013-01-25,1650,2013-01-25,1656,,,
1239 DICKINSON DR,,13000639,1,ZOM,INTOXICATED PERSON,07U,2013-01-26,2013-01-25,2315,2013-01-25,2319,,,
1239 DICKINSON DR,WT811,13000642,2,PRA,PROPERTY FOUND / IMPOUNDED,07U,2013-01-26,2013-01-26,0200,2013-01-26,0215,,,
1239 DICKINSON DR,WT811,13000642,1,ZOQ,ULEAD,07U,2013-01-26,2013-01-26,0200,2013-01-26,0215,,,
1239 DICKINSON DR,,13000643,2,FDD,FD SICK/INJURED PERSON,07U,2013-01-26,2013-01-26,0202,2013-01-26,0230,,,
1239 DICKINSON DR,,13000643,1,ZOM,INTOXICATED PERSON,07U,2013-01-26,2013-01-26,0202,2013-01-26,0230,,,
1365 MEMORIAL DR,,13000666,1,FDD,FD SICK/INJURED PERSON,07U,2013-01-26,2013-01-26,2239,2013-01-26,2239,,,
1231 DICKINSON DR,,13000668,1,FAC,FAMILY CHILD NEGLECT,07U,2013-01-27,2013-01-27,0158,2013-01-27,0158,,,
1231 DICKINSON DR,,13000668,2,ZOM,INTOXICATED PERSON,07U,2013-01-27,2013-01-27,0158,2013-01-27,0158,,,
1231 DICKINSON DR,,13000669,1,DRA,DRUG POSSESSION CONTROLLED SUBSTANCE,07U,2013-01-27,2013-01-27,0158,2013-01-27,0158,,,
1231 DICKINSON DR,,13000669,2,DRF,DRUG POSSESSION OF PARAPHERNALIA / EQUIPMENT,07U,2013-01-27,2013-01-27,0158,2013-01-27,0158,,,
1231 DICKINSON DR,,13000669,2,ZOM,INTOXICATED PERSON,07U,2013-01-27,2013-01-27,0158,2013-01-27,0158,,,
1231 DICKINSON DR,,13000669,2,ZOQ,ULEAD,07U,2013-01-27,2013-01-27,0158,2013-01-27,0158,,,
1231 DICKINSON DR,,13000674,2,PRA,PROPERTY FOUND / IMPOUNDED,07U,2013-01-27,2013-01-27,1245,2013-01-27,1250,,,
1231 DICKINSON DR,,13000674,1,ZOQ,ULEAD,07U,2013-01-27,2013-01-27,1245,2013-01-27,1250,,,
6200 SAN AMARO DR,,13000685,2,ASA,ASSIST LAW AGENCY,07U,2013-01-28,2013-01-28,0931,2013-01-28,0934,,,
6200 SAN AMARO DR,,13000685,1,DIA,DISTURBANCE DOMESTIC,07U,2013-01-28,2013-01-28,0931,2013-01-28,0934,,,
6200 SAN AMARO DR,,13000685,2,ZOA,TRESPASS WARNING,07U,2013-01-28,2013-01-28,0931,2013-01-28,0934,,,
1111 MEMORIAL DR,213,13000710,1,PRB,PROPERTY LOST,07U,2013-01-28,2013-01-28,1300,2013-01-28,1400,,,
1306 STANFORD DR,,13000716,1,ZOA,TRESPASS WARNING,07U,2013-01-29,2013-01-29,0227,2013-01-29,0227,,,
1399 MILLER DR/SAN AMARO DR,,13000733,1,VEL,VEHICLE TRAFFIC CRASH,07U,2013-01-29,2013-01-29,1745,2013-01-29,1745,,,
1241 DICKINSON DR,,13000739,1,THC,THEFT FROM MOTOR VEHICLE,07U,2013-01-29,2013-01-29,1820,2013-01-29,1950,,,
5185 PONCE DE LEON BLVD,,13000743,1,SCB,SIMPLE ASSAULT / THREATS,07U,2013-01-29,2013-01-29,0020,2013-01-29,1600,,,
1500 LIGURIA AV/SAN AMARO DR,,13000753,1,VEL,VEHICLE TRAFFIC CRASH,07U,2013-01-30,2013-01-30,1031,2013-01-30,1031,,,
5500 SAN AMARO DR,BLK,13000762,1,FDD,FD SICK/INJURED PERSON,07U,2013-01-31,2013-01-30,1748,2013-01-30,1750,,,
1241 DICKINSON DR,,13000767,1,FDD,FD SICK/INJURED PERSON,07U,2013-01-30,2013-01-30,2020,2013-01-30,2020,,,
1314 MILLER DR,,13000774,1,ZOE,SUSPICIOUS INCIDENT,07U,2013-01-31,2013-01-30,2200,2013-01-31,0823,,,
1245 DAUER DR,,13000778,1,THC,THEFT FROM MOTOR VEHICLE,07U,2013-01-31,2013-01-31,0920,2013-01-31,1129,,,
5185 PONCE DE LEON BLVD,,13000782,2,PRA,PROPERTY FOUND / IMPOUNDED,07U,2013-01-31,2013-01-31,1230,2013-01-31,1240,,,
5185 PONCE DE LEON BLVD,,13000782,1,ZOE,SUSPICIOUS INCIDENT,07U,2013-01-31,2013-01-31,1230,2013-01-31,1240,,,
5399 PONCE DE LEON BLVD/DICKINSON DR,,13000789,1,VEL,VEHICLE TRAFFIC CRASH,07U,2013-01-31,2013-01-31,1526,2013-01-31,1526,,,
1231 DICKINSON DR,PT:917,13000790,2,PRA,PROPERTY FOUND / IMPOUNDED,07U,2013-02-01,2013-01-31,1500,2013-01-31,1524,,,
1231 DICKINSON DR,PT:917,13000790,1,ZOQ,ULEAD,07U,2013-02-01,2013-01-31,1500,2013-01-31,1524,,,
5185 PONCE DE LEON BLVD,235,13000808,2,PRA,PROPERTY FOUND / IMPOUNDED,07U,2013-02-01,2013-01-31,2305,2013-02-01,0300,,,
5185 PONCE DE LEON BLVD,235,13000808,1,ZOQ,ULEAD,07U,2013-02-01,2013-01-31,2305,2013-02-01,0300,,,
1239 DICKINSON DR,,13000810,2,PRA,PROPERTY FOUND / IMPOUNDED,07U,2013-02-01,2013-02-01,0115,2013-02-01,0141,,,
1239 DICKINSON DR,,13000810,2,ZOM,INTOXICATED PERSON,07U,2013-02-01,2013-02-01,0115,2013-02-01,0141,,,
1239 DICKINSON DR,,13000810,1,ZOQ,ULEAD,07U,2013-02-01,2013-02-01,0115,2013-02-01,0141,,,
1231 DICKINSON DR,,13000812,2,FDD,FD SICK/INJURED PERSON,07U,2013-02-01,2013-02-01,0351,2013-02-01,0351,,,
1231 DICKINSON DR,,13000812,1,ZOM,INTOXICATED PERSON,07U,2013-02-01,2013-02-01,0351,2013-02-01,0351,,,
1231 DICKINSON DR,200B,13000833,1,THF,THEFT FROM STRUCTURE  WITH LEGAL ACCESS / PUBLIC BUILDING,07U,2013-02-01,2013-01-30,2200,2013-02-01,1548,,,
1231 DICKINSON DR,PT 821,13000851,1,FDD,FD SICK/INJURED PERSON,07U,2013-02-02,2013-02-02,0458,2013-02-02,0505,,,
1241 DICKINSON DR,,13000859,1,PRA,PROPERTY FOUND / IMPOUNDED,07U,2013-02-02,2013-02-02,1445,2013-02-02,1457,,,
5185 PONCE DE LEON BLVD,,13000874,1,DIB,DISTURBANCE OTHER,07U,2013-02-03,2013-02-03,0005,2013-02-03,0010,,,
1599 CORNICHE AV/RED RD,,13000890,1,VEL,VEHICLE TRAFFIC CRASH,07U,2013-02-03,2013-02-03,2312,2013-02-03,2312,,,
5999 SAN AMARO DR/LIGURIA AV,,13000894,1,VEL,VEHICLE TRAFFIC CRASH,07U,2013-02-04,2013-02-04,0907,2013-02-04,0907,,,
1311 MILLER DR,F105,13000895,1,THK,THEFT OTHER,07U,2013-02-04,2013-02-01,1700,2013-02-04,0800,13,893288.86199999996,504707.23499999999
1399 MILLER DR/SAN AMARO DR,,13000910,1,VEL,VEHICLE TRAFFIC CRASH,07U,2013-02-04,2013-02-04,1912,2013-02-04,1912,,,
6599 SAN AMARO DR/PONCE DE LEON BLVD,,13000914,1,VEL,VEHICLE TRAFFIC CRASH,07U,2013-01-21,2013-01-21,0239,2013-01-21,0239,,,
1306 STANFORD DR,,13000915,1,THF,THEFT FROM STRUCTURE  WITH LEGAL ACCESS / PUBLIC BUILDING,07U,2013-02-04,2013-02-04,1732,2013-02-04,1732,,,
1306 STANFORD DR,,13000915,2,ZOA,TRESPASS WARNING,07U,2013-02-04,2013-02-04,1732,2013-02-04,1732,,,
1239 DICKINSON DR,,13000933,1,PRB,PROPERTY LOST,07U,2013-02-05,2013-02-04,1800,2013-02-04,1900,,,
5665 PONCE DE LEON BLVD,5 FLOOR,13000934,1,THF,THEFT FROM STRUCTURE  WITH LEGAL ACCESS / PUBLIC BUILDING,07U,2013-02-05,2013-02-05,1100,2013-02-05,1110,,,
1599 ALBENGA AV/RED RD,,13000938,1,VEL,VEHICLE TRAFFIC CRASH,07U,2013-02-05,2013-02-05,1453,2013-02-05,1453,,,
1241 DICKINSON DR,,13000939,1,THF,THEFT FROM STRUCTURE  WITH LEGAL ACCESS / PUBLIC BUILDING,07U,2013-02-05,2013-02-04,1500,2013-02-05,1515,81,892858.31700000004,503002.52299999999
5050 BRUNSON DR,107,13000962,1,PRB,PROPERTY LOST,07U,2013-02-06,2013-01-31,1245,2013-01-31,1300,,,
5202 UNIVERSITY DR,212,13000967,1,ZOE,SUSPICIOUS INCIDENT,07U,2013-02-06,2013-01-23,1552,2013-02-06,1455,,,
5475 PONCE DE LEON BLVD/S ALHAMBRA CIR,,13000984,1,VEL,VEHICLE TRAFFIC CRASH,07U,2013-02-06,2013-02-06,1949,2013-02-06,1949,,,
1239 DICKINSON DR,,13000985,1,THK,THEFT OTHER,07U,2013-02-06,2013-02-06,0000,2013-02-06,2000,,,
5665 PONCE DE LEON BLVD,,13000999,1,ZOD,INCIDENT REPORT,07U,2013-02-07,2013-02-06,1304,2013-02-07,1304,,,
1252 MEMORIAL DR,,13001008,1,SXG,SEXUAL VOYEURISM,07U,2013-02-07,2013-02-07,0835,2013-02-07,0836,,,
1252 MEMORIAL DR,,13001008,2,ZOA,TRESPASS WARNING,07U,2013-02-07,2013-02-07,0835,2013-02-07,0836,,,
6200 SAN AMARO DR,,13001014,1,VEL,VEHICLE TRAFFIC CRASH,07U,2013-02-07,2013-02-07,1714,2013-02-07,1714,,,
1535 LEVANTE AV,288,13001022,1,THF,THEFT FROM STRUCTURE  WITH LEGAL ACCESS / PUBLIC BUILDING,07U,2013-02-08,2013-01-31,2100,2013-02-06,1800,,,
1231 DICKINSON DR,MT1207,13001052,1,ZOQ,ULEAD,07U,2013-02-09,2013-02-09,0035,2013-02-09,0146,70,893261.76699999999,503552.82699999999
5185 PONCE DE LEON BLVD,,13001055,1,ZOD,INCIDENT REPORT,07U,2013-02-09,2013-02-09,0028,2013-02-09,0050,,,
5185 PONCE DE LEON BLVD,440,13001063,1,PRA,PROPERTY FOUND / IMPOUNDED,07U,2013-02-09,2013-02-09,1438,2013-02-09,1438,,,
5665 PONCE DE LEON BLVD,536,13001068,1,PRB,PROPERTY LOST,07U,2013-02-09,2013-02-08,1100,2013-02-09,1950,123,893056.50699999998,501950.05499999999
1241 DICKINSON DR,,13001070,1,FDD,FD SICK/INJURED PERSON,07U,2013-02-09,2013-02-09,2120,2013-02-09,2206,81,892858.31700000004,503002.52299999999
1211 DICKINSON DR,,13001071,1,FDD,FD SICK/INJURED PERSON,07U,2013-02-09,2013-02-09,2200,2013-02-09,2204,,,
1239 DICKINSON DR,,13001075,2,FDD,FD SICK/INJURED PERSON,07U,2013-02-10,2013-02-10,0030,2013-02-10,0115,76,892865.95600000001,503580.26199999999
1239 DICKINSON DR,,13001075,1,ZOM,INTOXICATED PERSON,07U,2013-02-10,2013-02-10,0030,2013-02-10,0115,76,892865.95600000001,503580.26199999999
1300 MEMORIAL DR,,13001093,1,ZOA,TRESPASS WARNING,07U,2013-02-11,2013-02-11,0735,2013-02-11,0739,,,
1575 LIGURIA AV,,13001095,1,THK,THEFT OTHER,07U,2013-02-11,2013-02-06,1705,2013-02-11,0930,105,891500.13199999998,502206.99300000002
1241 DICKINSON DR,,13001114,1,THC,THEFT FROM MOTOR VEHICLE,07U,2013-02-11,2013-02-11,1400,2013-02-11,1600,,,
5250 UNIVERSITY DR,,13001135,1,THF,THEFT FROM STRUCTURE  WITH LEGAL ACCESS / PUBLIC BUILDING,07U,2013-02-12,2013-02-11,1200,2013-02-11,1230,,,
1590 SCODELLA AV,,13001137,1,PRC,PROPERTY DAMAGED,07U,2013-02-12,2013-02-12,1135,2013-02-12,1137,102,891475.59199999995,501707.87099999998
1520 LIGURIA AV,,13001141,1,ZOA,TRESPASS WARNING,07U,2013-02-12,2013-02-12,1328,2013-02-12,1350,,,
1211 DICKINSON DR,49,13001147,1,FDD,FD SICK/INJURED PERSON,07U,2013-02-12,2013-02-12,1509,2013-02-12,1511,,,
1231 DICKINSON DR,,13001151,1,VEL,VEHICLE TRAFFIC CRASH,07U,2013-02-12,2013-02-12,1656,2013-02-12,1656,,,
1244 STANFORD DR,,13001158,1,FDD,FD SICK/INJURED PERSON,07U,2013-02-13,2013-02-13,0002,2013-02-13,0004,45,895022.70700000005,504471.212
1204 DICKINSON DR,BLG:37P,13001178,1,THF,THEFT FROM STRUCTURE  WITH LEGAL ACCESS / PUBLIC BUILDING,07U,2013-02-14,2013-02-13,1000,2013-02-13,1600,,,
1231 DICKINSON DR,,13001184,1,FDD,FD SICK/INJURED PERSON,07U,2013-02-13,2013-02-13,1920,2013-02-13,1925,71,893300.82700000005,503382.65600000002
1231 DICKINSON DR,PT318,13001186,2,PRA,PROPERTY FOUND / IMPOUNDED,07U,2013-02-13,2013-02-13,2240,2013-02-13,2245,71,893300.82700000005,503382.65600000002
1231 DICKINSON DR,PT318,13001186,1,ZOQ,ULEAD,07U,2013-02-13,2013-02-13,2240,2013-02-13,2245,71,893300.82700000005,503382.65600000002
1231 DICKINSON DR,1005,13001198,1,ZOG,DECEASED PERSON,07U,2013-02-14,2013-02-14,0900,2013-02-14,0901,,,
1300 MEMORIAL DR,1 FLOOR,13001203,1,THF,THEFT FROM STRUCTURE  WITH LEGAL ACCESS / PUBLIC BUILDING,07U,2013-02-14,2013-02-13,1850,2013-02-13,1930,,,
1301 MEMORIAL DR,103,13001209,1,THF,THEFT FROM STRUCTURE  WITH LEGAL ACCESS / PUBLIC BUILDING,07U,2013-02-14,2013-02-14,1556,2013-02-14,1556,,,
1520 LIGURIA AV,3,13001215,2,FDD,FD SICK/INJURED PERSON,07U,2013-02-14,2013-02-14,1642,2013-02-14,1645,,,
1520 LIGURIA AV,3,13001215,1,PRA,PROPERTY FOUND / IMPOUNDED,07U,2013-02-14,2013-02-14,1642,2013-02-14,1645,,,
1231 DICKINSON DR,,13001227,2,FDD,FD SICK/INJURED PERSON,07U,2013-02-15,2013-02-15,0200,2013-02-15,0335,,,
1231 DICKINSON DR,,13001227,1,ZOM,INTOXICATED PERSON,07U,2013-02-15,2013-02-15,0200,2013-02-15,0335,,,
1400 CONSOLATA AV/SAN AMARO DR,,13001239,1,VEL,VEHICLE TRAFFIC CRASH,07U,2013-02-15,2013-02-15,1225,2013-02-15,1225,,,
1241 DICKINSON DR,,13001245,2,FDD,FD SICK/INJURED PERSON,07U,2013-02-15,2013-02-15,1450,2013-02-15,1459,,,
1241 DICKINSON DR,,13001245,1,PRA,PROPERTY FOUND / IMPOUNDED,07U,2013-02-15,2013-02-15,1450,2013-02-15,1459,,,
1320 CAMPO SANO AV,RM:111,13001269,1,THF,THEFT FROM STRUCTURE  WITH LEGAL ACCESS / PUBLIC BUILDING,07U,2013-02-16,2013-02-13,0630,2013-02-13,0730,,,
1231 DICKINSON DR,MT805,13001272,1,PRA,PROPERTY FOUND / IMPOUNDED,07U,2013-02-16,2013-02-16,1300,2013-02-16,1310,,,
1211 DICKINSON DR,236,13001279,2,PRA,PROPERTY FOUND / IMPOUNDED,07U,2013-02-16,2013-02-16,2043,2013-02-16,2047,,,
1211 DICKINSON DR,236,13001279,1,ZOQ,ULEAD,07U,2013-02-16,2013-02-16,2043,2013-02-16,2047,,,
1231 DICKINSON DR,,13001280,1,ZOM,INTOXICATED PERSON,07U,2013-02-16,2013-02-16,1900,2013-02-16,2235,,,
1231 DICKINSON DR,,13001284,2,FDD,FD SICK/INJURED PERSON,07U,2013-02-17,2013-02-17,0236,2013-02-17,0240,,,
1231 DICKINSON DR,,13001284,1,ZOM,INTOXICATED PERSON,07U,2013-02-17,2013-02-17,0236,2013-02-17,0240,,,
1231 DICKINSON DR,PT 615,13001287,2,FDD,FD SICK/INJURED PERSON,07U,2013-02-17,2013-02-17,0910,2013-02-17,0915,,,
1231 DICKINSON DR,PT 615,13001287,1,ZOM,INTOXICATED PERSON,07U,2013-02-17,2013-02-17,0910,2013-02-17,0915,,,
5501 SAN AMARO DR,,13001300,1,ZOA,TRESPASS WARNING,07U,2013-02-18,2013-02-18,1335,2013-02-18,1400,35,893129.473,504239.35800000001
1599 LEVANTE AV/RED RD,,13001303,1,VEB,VEHICLE HIT & RUN,07U,2013-02-18,2013-02-18,1657,2013-02-18,1657,,,
5399 PONCE DE LEON BLVD/DICKINSON DR,,13001307,1,VEL,VEHICLE TRAFFIC CRASH,07U,2013-02-18,2013-02-18,2019,2013-02-18,2019,,,
