ADDRESS,Apt,Caee,Primary Offense,Off_Code,Offense,tract,repdate,date_rept,date_occu,hour_occu,dow1,date_fnd,hour_fnd,,,,,
1299 DICKINSON DR/PONCE DE LEON BLVD,,11000253,1,ZOA,TRESPASS WARNING,07U,,01/12/2011,11/01/12,[$-409]01/12/11 13:05 a01/p01,13:05,[$-409]01/12/11 13:05 a01/p01,[$-409]13:05 a01/p01,662,893271.07400000002,502092.99200000003,,
1231 DICKINSON DR,,11000270,1,ZOD,INCIDENT REPORT,07U,,01/12/2011,11/01/12,[$-409]01/12/11 22:20 a01/p01,22:20,[$-409]01/12/11 22:24 a01/p01,[$-409]22:24 a01/p01,72,893156.39199999999,503434.00900000002,,
1535 LEVANTE AV,,11000287,1,VEL,VEHICLE TRAFFIC CRASH,07U,,01/13/2011,11/01/13,[$-409]01/13/11 00:00 a01/p01,00:00,[$-409]01/13/11 00:00 a01/p01,[$-409]00:00 a01/p01,,,,,
5401 PONCE DE LEON BLVD,,11000302,1,ZOM,INTOXICATED PERSON,07U,,01/14/2011,11/01/14,[$-409]01/14/11 02:40 a01/p01,02:40,[$-409]01/14/11 02:40 a01/p01,[$-409]02:40 a01/p01,51,895056.26599999995,503786.853,,
1231 DICKINSON DR,PT519,11000323,1,PRA,PROPERTY FOUND / IMPOUNDED,07U,,01/14/2011,11/01/14,[$-409]01/14/11 19:45 a01/p01,19:45,[$-409]01/14/11 20:00 a01/p01,[$-409]20:00 a01/p01,71,893300.82700000005,503382.65600000002,,
1239 DICKINSON DR,WT 803,11000328,1,PRA,PROPERTY FOUND / IMPOUNDED,07U,,01/15/2011,11/01/15,[$-409]01/14/11 23:00 a01/p01,[$-409]23:00 a01/p01,[$-409]01/14/11 23:40 a01/p01,[$-409]23:40 a01/p01,75,892755.73499999999,503357.43699999998,,
1101 STANFORD DR,,11000345,1,PRA,PROPERTY FOUND / IMPOUNDED,07U,,01/15/2011,11/01/15,[$-409]15:56 a01/p01,[$-409]15:56 a01/p01,01/15/2010,[$-409]16:05 a01/p01,129,895055.79700000002,504146.53700000001,,
5616 PAVIA ST,,11000366,1,THC,THEFT FROM MOTOR VEHICLE,07U,,01/16/2011,11/01/16,[$-409]14:13 a01/p01,[$-409]14:13 a01/p01,01/16/2011,[$-409]15:42 a01/p01,54,894485.30200000003,503768.17499999999,,
1200 DICKINSON DR,BLK,11000373,1,AGD,AGGRAVATED BATTERY,07U,,01/17/2011,11/01/17,[$-409]02:10 a01/p01,[$-409]02:10 a01/p01,01/17/2011,[$-409]02:20 a01/p01,250,893858.34400000004,503792.57199999999,,
1200 DICKINSON DR,BLK,11000373,2,DCC,DISORDERLY INTOXICATION,07U,,01/17/2011,11/01/17,[$-409]02:10 a01/p01,[$-409]02:10 a01/p01,01/17/2011,[$-409]02:20 a01/p01,250,893858.34400000004,503792.57199999999,,
1200 DICKINSON DR,BLK,11000373,1,FRG,FRAUD POSSESSION OF COUNTERFEIT,07U,,01/17/2011,11/01/17,[$-409]02:10 a01/p01,[$-409]02:10 a01/p01,01/17/2011,[$-409]02:20 a01/p01,250,893858.34400000004,503792.57199999999,,
1200 DICKINSON DR,BLK,11000373,2,ZOM,INTOXICATED PERSON,07U,,01/17/2011,11/01/17,[$-409]02:10 a01/p01,[$-409]02:10 a01/p01,01/17/2011,[$-409]02:20 a01/p01,250,893858.34400000004,503792.57199999999,,
1200 DICKINSON DR,BLK,11000373,1,PRA,PROPERTY FOUND / IMPOUNDED,07U,,01/17/2011,11/01/17,[$-409]02:10 a01/p01,[$-409]02:10 a01/p01,01/17/2011,[$-409]02:20 a01/p01,250,893858.34400000004,503792.57199999999,,
1200 DICKINSON DR,BLK,11000373,2,ZOA,TRESPASS WARNING,07U,,01/17/2011,11/01/17,[$-409]02:10 a01/p01,[$-409]02:10 a01/p01,01/17/2011,[$-409]02:20 a01/p01,250,893858.34400000004,503792.57199999999,,
1239 DICKINSON DR,W1007,11000389,1,PRA,PROPERTY FOUND / IMPOUNDED,07U,,01/17/2011,11/01/17,[$-409]19:20 a01/p01,[$-409]19:20 a01/p01,01/17/2011,[$-409]19:20 a01/p01,74,892974.25199999998,503706.15500000003,,
1100 STANFORD DR,BLK,11000390,1,FDD,FD SICK/INJURED PERSON,07U,,01/17/2011,11/01/17,[$-409]20:55 a01/p01,[$-409]20:55 a01/p01,01/17/2011,[$-409]21:11 a01/p01,51,895056.26599999995,503786.853,,
1231 DICKINSON DR,PT518,11000393,1,PRA,PROPERTY FOUND / IMPOUNDED,07U,,01/18/2011,11/01/18,[$-409]01:30 a01/p01,[$-409]01:30 a01/p01,01/18/2011,[$-409]02:00 a01/p01,72,893156.39199999999,503434.00900000002,,
6499 RED RD/LEVANTE AV,,11000401,1,ZZZ,VOID (RECORDS USE ONLY),07U,,01/18/2011,11/01/18,[$-409]00:00 a01/p01,[$-409]00:00 a01/p01,01/18/2011,[$-409]00:00 a01/p01,,,,,
1211 DICKINSON DR,,11000415,1,ZZZ,VOID (RECORDS USE ONLY),07U,,01/18/2011,11/01/18,[$-409]00:00 a01/p01,[$-409]00:00 a01/p01,01/18/2011,[$-409]00:00 a01/p01,,,,,
1211 DICKINSON DR,,11000416,1,PRA,PROPERTY FOUND / IMPOUNDED,07U,,01/18/2011,11/01/18,[$-409]14:01 a01/p01,[$-409]14:01 a01/p01,01/18/2011,[$-409]14:01 a01/p01,250,893858.34400000004,503792.57199999999,,
1211 DICKINSON DR,,11000416,2,VEI,VEHICLE PARKING OFFENSE / SCOFF LAW,07U,,01/18/2011,11/01/18,[$-409]14:01 a01/p01,[$-409]14:01 a01/p01,01/18/2011,[$-409]14:01 a01/p01,250,893858.34400000004,503792.57199999999,,
1211 DICKINSON DR,,11000417,1,PRA,PROPERTY FOUND / IMPOUNDED,07U,,01/18/2011,11/01/18,[$-409]14:19 a01/p01,[$-409]14:19 a01/p01,01/18/2011,[$-409]14:19 a01/p01,250,893858.34400000004,503792.57199999999,,
1211 DICKINSON DR,,11000417,2,VEI,VEHICLE PARKING OFFENSE / SCOFF LAW,07U,,01/18/2011,11/01/18,[$-409]14:19 a01/p01,[$-409]14:19 a01/p01,01/18/2011,[$-409]14:19 a01/p01,250,893858.34400000004,503792.57199999999,,
5183 PONCE DE LEON BLVD,,11000431,1,THC,THEFT FROM MOTOR VEHICLE,07U,,01/19/2011,11/01/19,[$-409]23:00 a12/p12,[$-409]23:00 a12/p12,01/18/2011,[$-409]22:26 a01/p01,49,895569.78700000001,504323.94,,
6299 SAN AMARO DR,,11000432,1,ZOJ,BAKER / MARCHMAN ACT,07U,,01/19/2011,11/01/19,[$-409]03:00 a01/p01,[$-409]03:00 a01/p01,01/19/2011,[$-409]03:00 a01/p01,331,892375.69900000002,501281.36800000002,,
6299 SAN AMARO DR,,11000432,2,FAL,FAMILY MISSING PERSON RECOVERY,07U,,01/19/2011,11/01/19,[$-409]03:00 a01/p01,[$-409]03:00 a01/p01,01/19/2011,[$-409]03:00 a01/p01,331,892375.69900000002,501281.36800000002,,
1300 CAMPO SANO AV,BLK,11000435,1,VEL,VEHICLE TRAFFIC CRASH,07U,,01/19/2011,11/01/19,[$-409]00:00 a01/p01,[$-409]00:00 a01/p01,01/19/2011,[$-409]00:00 a01/p01,,,,,
1244 STANFORD DR,,11000439,1,THF,THEFT FROM STRUCTURE  WITH LEGAL ACCESS / PUBLIC BUILDING,07U,,01/19/2011,11/01/19,[$-409]08:50 a01/p01,[$-409]08:50 a01/p01,01/19/2011,[$-409]10:50 a01/p01,576,894923.08200000005,504406.57400000002,,
1400 MILLER RD,BLK,11000443,1,VEL,VEHICLE TRAFFIC CRASH,07U,,01/19/2011,11/01/19,[$-409]00:00 a01/p01,[$-409]00:00 a01/p01,01/19/2011,[$-409]00:00 a01/p01,,,,,
1223 DICKINSON DR,48D,11000444,1,ZOE,SUSPICIOUS INCIDENT,07U,,01/19/2011,11/01/19,[$-409]21:45 a01/p01,[$-409]21:45 a01/p01,01/19/2011,[$-409]10:00 a01/p01,69,893474.83100000001,503511.23499999999,,
1239 DICKINSON DR,,11000446,1,THF,THEFT FROM STRUCTURE  WITH LEGAL ACCESS / PUBLIC BUILDING,07U,,01/19/2011,11/01/19,[$-409]17:45 a01/p01,[$-409]17:45 a01/p01,01/19/2011,[$-409]12:17 a01/p01,76,892865.95600000001,503580.26199999999,,
5362 SAN AMARO DR/MILLER DR,,11000447,1,ZZZ,VOID (RECORDS USE ONLY),07U,,01/19/2011,11/01/19,[$-409]00:00 a01/p01,[$-409]00:00 a01/p01,01/19/2011,[$-409]00:00 a01/p01,,,,,
5615 PAVIA ST,,11000448,1,ZZZ,VOID (RECORDS USE ONLY),07U,,01/19/2011,11/01/19,[$-409]00:00 a01/p01,[$-409]00:00 a01/p01,01/19/2011,[$-409]00:00 a01/p01,,,,,
5615 PAVIA ST,,11000450,1,VEI,VEHICLE PARKING OFFENSE / SCOFF LAW,07U,,01/19/2011,11/01/19,[$-409]00:00 a01/p01,[$-409]00:00 a01/p01,01/19/2011,[$-409]00:00 a01/p01,,,,,
5185 PONCE DE LEON BLVD,,11000452,1,THC,THEFT FROM MOTOR VEHICLE,07U,,01/20/2011,11/01/20,[$-409]23:30 a01/p01,[$-409]23:30 a01/p01,01/19/2011,[$-409]16:00 a01/p01,49,895569.78700000001,504323.94,,
1100 STANFORD DR,BLK,11000456,1,PRB,PROPERTY LOST,07U,,01/19/2011,11/01/19,[$-409]20:55 a01/p01,[$-409]20:55 a01/p01,01/18/2011,[$-409]13:33 a01/p01,51,895056.26599999995,503786.853,,
1241 DICKINSON DR,,11000459,1,THF,THEFT FROM STRUCTURE  WITH LEGAL ACCESS / PUBLIC BUILDING,07U,,01/19/2011,11/01/19,[$-409]17:30 a01/p01,[$-409]17:30 a01/p01,01/19/2011,[$-409]17:31 a01/p01,81,892858.31700000004,503002.52299999999,,
5399 PONCE DE LEON BLVD/DICKINSON DR,,11000460,1,VEL,VEHICLE TRAFFIC CRASH,07U,,01/19/2011,11/01/19,[$-409]00:00 a01/p01,[$-409]00:00 a01/p01,01/19/2011,[$-409]00:00 a01/p01,,,,,
5665 PONCE DE LEON BLVD,,11000462,1,ZOA,TRESPASS WARNING,07U,,01/19/2011,11/01/19,[$-409]20:00 a01/p01,[$-409]20:00 a01/p01,01/19/2011,[$-409]20:01 a01/p01,596,893085.93900000001,501909.61599999998,,
1231 DICKINSON DR,,11000464,1,PRA,PROPERTY FOUND / IMPOUNDED,07U,,01/19/2011,11/01/19,[$-409]22:11 a01/p01,[$-409]22:11 a01/p01,01/19/2011,[$-409]22:15 a01/p01,72,893156.39199999999,503434.00900000002,,
6200 SAN AMARO DR,BLK,11000466,1,FDD,FD SICK/INJURED PERSON,07U,,01/19/2011,11/01/19,[$-409]22:52 a01/p01,[$-409]22:52 a01/p01,01/19/2011,[$-409]23:10 a01/p01,331,892375.69900000002,501281.36800000002,,
1299 DICKINSON DR/PONCE DE LEON BLVD,,11000467,1,VEL,VEHICLE TRAFFIC CRASH,07U,,01/19/2011,11/01/19,[$-409]00:00 a01/p01,[$-409]00:00 a01/p01,01/19/2011,[$-409]00:00 a01/p01,,,,,
1231 DICKINSON DR,,11000468,1,PRA,PROPERTY FOUND / IMPOUNDED,07U,,01/20/2011,11/01/20,[$-409]00:33 a01/p01,[$-409]00:33 a01/p01,01/19/2011,[$-409]00:55 a01/p01,72,893156.39199999999,503434.00900000002,,
1239 DICKINSON DR,,11000469,1,FDD,FD SICK/INJURED PERSON,07U,,01/20/2011,11/01/20,[$-409]00:45 a01/p01,[$-409]00:45 a01/p01,01/20/2011,[$-409]00:45 a01/p01,75,892755.73499999999,503357.43699999998,,
1239 DICKINSON DR,,11000469,2,PRA,PROPERTY FOUND / IMPOUNDED,07U,,01/20/2011,11/01/20,[$-409]00:45 a01/p01,[$-409]00:45 a01/p01,01/20/2011,[$-409]00:45 a01/p01,75,892755.73499999999,503357.43699999998,,
1101 STANFORD DR,,11000474,1,TVE,THEFT OF BICYCLE,07U,,01/20/2011,11/01/20,[$-409]19:00 a01/p01,[$-409]19:00 a01/p01,01/20/2011,[$-409]07:30 a01/p01,545,894992.79500000004,504131.88299999997,,
1365 MEMORIAL DR,,11000483,1,VEL,VEHICLE TRAFFIC CRASH,07U,,01/20/2011,11/01/20,[$-409]00:00 a01/p01,[$-409]00:00 a01/p01,01/20/2011,[$-409]00:00 a01/p01,,,,,
1231 DICKINSON DR,,11000494,1,PRA,PROPERTY FOUND / IMPOUNDED,07U,,01/20/2011,11/01/20,[$-409]20:15 a01/p01,[$-409]20:15 a01/p01,01/20/2011,[$-409]20:25 a01/p01,72,893156.39199999999,503434.00900000002,,
1231 DICKINSON DR,,11000498,2,FDD,FD SICK/INJURED PERSON,07U,,01/21/2011,11/01/21,[$-409]01:30 a01/p01,[$-409]01:30 a01/p01,01/21/2011,[$-409]01:34 a01/p01,72,893156.39199999999,503434.00900000002,,
1231 DICKINSON DR,,11000498,1,ZOM,INTOXICATED PERSON,07U,,01/21/2011,11/01/21,[$-409]01:30 a01/p01,[$-409]01:30 a01/p01,01/21/2011,[$-409]01:34 a01/p01,72,893156.39199999999,503434.00900000002,,
1231 DICKINSON DR,,11000499,2,PRA,PROPERTY FOUND / IMPOUNDED,07U,,01/21/2011,11/01/21,[$-409]02:20 a01/p01,[$-409]02:20 a01/p01,01/21/2011,[$-409]02:20 a01/p01,71,893300.82700000005,503382.65600000002,,
1231 DICKINSON DR,,11000499,1,ZOA,TRESPASS WARNING,07U,,01/21/2011,11/01/21,[$-409]02:20 a01/p01,[$-409]02:20 a01/p01,01/21/2011,[$-409]02:20 a01/p01,71,893300.82700000005,503382.65600000002,,
1211 DICKINSON DR,455,11000501,1,FDD,FD SICK/INJURED PERSON,07U,,01/21/2011,11/01/21,[$-409]03:44 a01/p01,[$-409]03:44 a01/p01,01/21/2011,[$-409]03:44 a01/p01,200,893607.14099999995,503723.93800000002,,
1211 DICKINSON DR,455,11000501,2,ZOM,INTOXICATED PERSON,07U,,01/21/2011,11/01/21,[$-409]03:44 a01/p01,[$-409]03:44 a01/p01,01/21/2011,[$-409]03:44 a01/p01,200,893607.14099999995,503723.93800000002,,
5616 PAVIA ST,,11000503,1,ZOA,TRESPASS WARNING,07U,,01/21/2011,11/01/21,[$-409]04:45 a01/p01,[$-409]04:45 a01/p01,01/21/2011,[$-409]04:45 a01/p01,54,894485.30200000003,503768.17499999999,,
5199 PONCE DE LEON BLVD/STANFORD DR,,11000516,1,VEL,VEHICLE TRAFFIC CRASH,07U,,01/21/2011,11/01/21,[$-409]00:00 a01/p01,[$-409]00:00 a01/p01,01/21/2011,[$-409]00:00 a01/p01,,,,,
1100 PISANO AV,,11000526,1,VEC,VEHICLE TRAFFIC OFFENSE (NON-DUI),07U,,01/25/2011,11/01/25,[$-409]18:30 a01/p01,[$-409]18:30 a01/p01,01/21/2011,[$-409]18:30 a01/p01,,,,,
1221 WALSH AV,,11000533,1,VAB,VANDALISM TO VEHICLE,07U,,01/21/2011,11/01/21,[$-409]05:30 a01/p01,[$-409]05:30 a01/p01,01/21/2011,[$-409]23:00 a01/p01,853,893726.06,502652.76899999997,,
1565 CORNICHE AV,,11000551,1,BUA,BURGLARY RESIDENTIAL,07U,,01/22/2011,11/01/22,[$-409]17:30 a01/p01,[$-409]17:30 a01/p01,01/22/2011,[$-409]19:00 a01/p01,486,891586.04599999997,503033.27399999998,,
1565 CORNICHE AV,,11000551,2,TVE,THEFT OF BICYCLE,07U,,01/22/2011,11/01/22,[$-409]17:30 a01/p01,[$-409]17:30 a01/p01,01/22/2011,[$-409]19:00 a01/p01,486,891586.04599999997,503033.27399999998,,
1530 LIGURIA AV,,11000552,1,ZZZ,VOID (RECORDS USE ONLY),07U,,01/22/2011,11/01/22,[$-409]00:00 a01/p01,[$-409]00:00 a01/p01,01/22/2011,[$-409]00:00 a01/p01,,,,,
1101 STANFORD DR,511,11000559,1,PRA,PROPERTY FOUND / IMPOUNDED,07U,,01/23/2011,11/01/23,[$-409]05:22 a01/p01,[$-409]05:22 a01/p01,01/23/2011,[$-409]05:22 a01/p01,,,,,
1231 DICKINSON DR,,11000569,1,FDC,FD OTHER FIRE,07U,,01/23/2011,11/01/23,[$-409]21:25 a01/p01,[$-409]21:25 a01/p01,01/23/2011,[$-409]21:25 a01/p01,71,893300.82700000005,503382.65600000002,,
1239 DICKINSON DR,PT 304,11000571,1,PRA,PROPERTY FOUND / IMPOUNDED,07U,,01/24/2011,11/01/24,[$-409]00:25 a01/p01,[$-409]00:25 a01/p01,01/24/2011,[$-409]00:35 a01/p01,71,893300.82700000005,503382.65600000002,,
1101 STANFORD DR,M704,11000572,1,PRA,PROPERTY FOUND / IMPOUNDED,07U,,01/24/2011,11/01/24,[$-409]01:18 a01/p01,[$-409]01:18 a01/p01,01/24/2011,[$-409]01:19 a01/p01,131,895221.08200000005,503966.17599999998,,
1535 LEVANTE AVE,,11000583,1,THF,THEFT FROM STRUCTURE  WITH LEGAL ACCESS / PUBLIC BUILDING,07U,,01/24/2011,11/01/24,[$-409]09:00 a11/p11,[$-409]09:00 a11/p11,01/14/2011,[$-409]09:00 a01/p01,94,891627.89,501154.33500000002,,
1241 DICKINSON DR,,11000588,1,VEL,VEHICLE TRAFFIC CRASH,07U,,01/24/2011,11/01/24,[$-409]00:00 a01/p01,[$-409]00:00 a01/p01,01/24/2011,[$-409]00:00 a01/p01,756,892939.68,502970.43400000001,,
1400 MILLER RD,BLK,11000590,1,VEI,VEHICLE PARKING OFFENSE / SCOFF LAW,07U,,01/24/2011,11/01/24,[$-409]00:00 a01/p01,[$-409]00:00 a01/p01,01/24/2011,[$-409]00:00 a01/p01,,,,,
5615 PAVIA ST,,11000611,1,VEL,VEHICLE TRAFFIC CRASH,07U,,01/25/2011,11/01/25,[$-409]00:00 a01/p01,[$-409]00:00 a01/p01,01/25/2011,[$-409]00:00 a01/p01,,,,,
5050 BRUNSON DR,,11000612,1,ZOA,TRESPASS WARNING,07U,,01/25/2011,11/01/25,[$-409]12:47 a01/p01,[$-409]12:47 a01/p01,01/25/2011,[$-409]13:35 a01/p01,715,894288.80900000001,505813.87199999997,,
5665 PONCE DE LEON BLVD,,11000615,1,ZZZ,VOID (RECORDS USE ONLY),07U,,01/25/2011,11/01/25,[$-409]00:00 a01/p01,[$-409]00:00 a01/p01,01/25/2011,[$-409]00:00 a01/p01,,,,,
5799 PONCE DE LEON BLVD/SAN AMARO DR,,11000621,1,THC,THEFT FROM MOTOR VEHICLE,07U,,01/25/2011,11/01/25,[$-409]20:00 a01/p01,[$-409]20:00 a01/p01,01/25/2011,[$-409]20:30 a01/p01,,,,,
1314 MILLER DR,,11000623,1,FDD,FD SICK/INJURED PERSON,07U,,01/25/2011,11/01/25,[$-409]21:15 a01/p01,[$-409]21:15 a01/p01,01/25/2011,[$-409]21:15 a01/p01,271,893303.36800000002,504602.951,,
5501 SAN AMARO DR,BLK,11000625,1,PRA,PROPERTY FOUND / IMPOUNDED,07U,,01/25/2011,11/01/25,[$-409]21:00 a01/p01,[$-409]21:00 a01/p01,01/25/2011,[$-409]22:10 a01/p01,816,892484.70499999996,503856.76299999998,,
5501 SAN AMARO DR,,11000626,1,PRA,PROPERTY FOUND / IMPOUNDED,07U,,01/25/2011,11/01/25,[$-409]21:00 a01/p01,[$-409]21:00 a01/p01,01/25/2011,[$-409]23:06 a01/p01,41,892819.9,504115.40600000002,,
1231 DICKINSON DR,,11000628,1,ZOM,INTOXICATED PERSON,07U,,01/26/2011,11/01/26,[$-409]02:50 a01/p01,[$-409]02:50 a01/p01,01/26/2011,[$-409]02:51 a01/p01,865,893063.45700000005,503573.89799999999,,
1252 MEMORIAL DR,,11000642,1,FDD,FD SICK/INJURED PERSON,07U,,01/26/2011,11/01/26,[$-409]13:34 a01/p01,[$-409]13:34 a01/p01,01/26/2011,[$-409]13:34 a01/p01,17,893876.15800000005,505263.125,,
1245 DAUER DR,,11000643,1,THF,THEFT FROM STRUCTURE  WITH LEGAL ACCESS / PUBLIC BUILDING,07U,,01/26/2011,11/01/26,[$-409]21:30 a01/p01,[$-409]21:30 a01/p01,01/25/2011,[$-409]06:00 a01/p01,65,893424.071,502854.73300000001,,
1239 DICKINSON DR,,11000645,1,SCE,SIMPLE HARASSMENT,07U,,01/26/2011,11/01/26,[$-409]12:40 a01/p01,[$-409]12:40 a01/p01,01/26/2011,[$-409]12:45 a01/p01,76,892865.95600000001,503580.26199999999,,
1239 DICKINSON DR,,11000645,2,ZOA,TRESPASS WARNING,07U,,01/26/2011,11/01/26,[$-409]12:40 a01/p01,[$-409]12:40 a01/p01,01/26/2011,[$-409]12:45 a01/p01,76,892865.95600000001,503580.26199999999,,
5401 PONCE DE LEON BLVD,,11000650,1,PRB,PROPERTY LOST,07U,,01/26/2011,11/01/26,[$-409]03:41 a01/p01,[$-409]03:41 a01/p01,01/21/2011,[$-409]15:00 a01/p01,51,895056.26599999995,503786.853,,
1529 ALBENGA AV,,11000654,1,PRA,PROPERTY FOUND / IMPOUNDED,07U,,01/26/2011,11/01/26,[$-409]16:00 a01/p01,[$-409]16:00 a01/p01,01/26/2011,[$-409]18:50 a01/p01,110,891783.19900000002,502422.848,,
5030 BRUNSON DR,106,11000660,1,PRA,PROPERTY FOUND / IMPOUNDED,07U,,01/26/2011,11/01/26,[$-409]02:30 a01/p01,[$-409]02:30 a01/p01,01/26/2011,[$-409]22:00 a01/p01,19,894255.06599999999,505594.31900000002,,
1101 STANFORD DR,,11000663,1,VEI,VEHICLE PARKING OFFENSE / SCOFF LAW,07U,,01/27/2011,11/01/27,[$-409]00:00 a01/p01,[$-409]00:00 a01/p01,01/27/2011,[$-409]00:00 a01/p01,,,,,
5665 PONCE DE LEON BLVD,,11000665,1,THF,THEFT FROM STRUCTURE  WITH LEGAL ACCESS / PUBLIC BUILDING,07U,,01/27/2011,11/01/27,[$-409]15:20 a01/p01,[$-409]15:20 a01/p01,01/26/2011,[$-409]18:15 a01/p01,123,893056.50699999998,501950.05499999999,,
1245 DAUER DR,,11000673,1,TVF,THEFT OF OTHER VEHICLE,07U,,01/27/2011,11/01/27,[$-409]19:45 a01/p01,[$-409]19:45 a01/p01,01/18/2011,[$-409]11:00 a01/p01,65,893424.071,502854.73300000001,,
1306 STANFORD DR,,11000675,1,THF,THEFT FROM STRUCTURE  WITH LEGAL ACCESS / PUBLIC BUILDING,07U,,01/27/2011,11/01/27,[$-409]15:10 a01/p01,[$-409]15:10 a01/p01,01/27/2011,[$-409]15:20 a01/p01,883,894044.60699999996,504443.06599999999,,
5799 PONCE DE LEON BLVD/SAN AMARO DR,,11000681,1,VEL,VEHICLE TRAFFIC CRASH,07U,,01/27/2011,11/01/27,[$-409]00:00 a01/p01,[$-409]00:00 a01/p01,01/27/2011,[$-409]00:00 a01/p01,,,,,
1241 DICKINSON DR,,11000682,1,FDD,FD SICK/INJURED PERSON,07U,,01/27/2011,11/01/27,[$-409]18:10 a01/p01,[$-409]18:10 a01/p01,01/27/2011,[$-409]18:57 a01/p01,81,892858.31700000004,503002.52299999999,,
5185 PONCE DE LEON BLVD,,11000684,1,PRB,PROPERTY LOST,07U,,01/27/2011,11/01/27,[$-409]15:15 a01/p01,[$-409]15:15 a01/p01,01/27/2011,[$-409]16:45 a01/p01,49,895569.78700000001,504323.94,,
1231 DICKINSON DR,,11000691,1,PRA,PROPERTY FOUND / IMPOUNDED,07U,,01/28/2011,11/01/28,[$-409]00:00 a01/p01,[$-409]00:00 a01/p01,01/28/2011,[$-409]00:15 a01/p01,72,893156.39199999999,503434.00900000002,,
1231 DICKINSON DR,,11000692,1,PRA,PROPERTY FOUND / IMPOUNDED,07U,,01/28/2011,11/01/28,[$-409]02:00 a01/p01,[$-409]02:00 a01/p01,01/28/2011,[$-409]02:05 a01/p01,70,893261.76699999999,503552.82699999999,,
1239 DICKINSON DR,,11000700,1,FDD,FD SICK/INJURED PERSON,07U,,01/21/2011,11/01/21,[$-409]14:38 a01/p01,[$-409]14:38 a01/p01,01/21/2011,[$-409]14:38 a01/p01,76,892865.95600000001,503580.26199999999,,
1529 ALBENGA AV,,11000705,1,PRA,PROPERTY FOUND / IMPOUNDED,07U,,01/28/2011,11/01/28,[$-409]15:45 a01/p01,[$-409]15:45 a01/p01,01/28/2011,[$-409]16:05 a01/p01,110,891783.19900000002,502422.848,,
