address,apt,case,primary_offense,offense_code,offense,date_rept,date_occu,hour_occu,date_fnd,hour_fnd,fid,x,y
6200 SAN AMARO DR,,11001243,1,ZZZ,VOID RECORDS USE ONLY,2011-02-16,2011-02-16,0000,2011-02-16,0000,96,892059.28200000001,501423.57299999997
1111 MEMORIAL DR,,11001391,1,ZZZ,VOID RECORDS USE ONLY,2011-02-22,2011-02-22,0000,2011-02-22,0000,18,894105.66599999997,505505.27299999999
1300 MEMORIAL DR,,11001587,1,VEI,VEHICLE PARKING OFFENSE SCOFF LAW,2011-03-01,2011-03-01,0000,2011-03-01,0000,16,893634.74199999997,505003.36800000002
1531 BRESCIA AV,,11001638,1,VEI,VEHICLE PARKING OFFENSE SCOFF LAW,2011-03-03,2011-03-03,0000,2011-03-03,0000,101,891769.80900000001,501683.84299999999
1301 MEMORIAL DR,,11001640,1,VEI,VEHICLE PARKING OFFENSE SCOFF LAW,2011-03-03,2011-03-03,0000,2011-03-03,0000,7,893366.68200000003,505369.12400000001
5615 PAVIA ST,,11001650,1,VEL,VEHICLE TRAFFIC CRASH,2011-03-03,2011-03-03,0000,2011-03-03,0000,54,894485.30200000003,503768.17499999999
1300 MEMORIAL DR,,11001789,1,ZZZ,VOID RECORDS USE ONLY,2011-03-08,2011-03-08,0000,2011-03-08,0000,16,893634.74199999997,505003.36800000002
5030 BRUNSON DR,,11002091,1,VEB,VEHICLE HIT RUN,2011-03-20,2011-03-20,0000,2011-03-20,0000,19,894255.06599999999,505594.31900000002
5050 BRUNSON DR,,11002339,1,VEL,VEHICLE TRAFFIC CRASH,2011-03-28,2011-03-28,0000,2011-03-28,0000,20,894420.18700000003,505665.27899999998
5050 BRUNSON DR,,11002346,1,VEI,VEHICLE PARKING OFFENSE SCOFF LAW,2011-03-28,2011-03-28,0000,2011-03-28,0000,20,894420.18700000003,505665.27899999998
5050 BRUNSON DR,,11002430,1,VEI,VEHICLE PARKING OFFENSE SCOFF LAW,2011-03-30,2011-03-30,0000,2011-03-30,0000,20,894420.18700000003,505665.27899999998
1300 MEMORIAL DR,,11002533,1,ZZZ,VOID RECORDS USE ONLY,2011-04-03,2011-04-03,0000,2011-04-03,0000,16,893634.74199999997,505003.36800000002
5615 PAVIA ST,,11002780,1,VEI,VEHICLE PARKING OFFENSE SCOFF LAW,2011-04-12,2011-04-12,0000,2011-04-12,0000,54,894485.30200000003,503768.17499999999
5050 BRUNSON DR,,11002856,1,VEI,VEHICLE PARKING OFFENSE SCOFF LAW,2011-04-14,2011-04-14,0000,2011-04-14,0000,20,894420.18700000003,505665.27899999998
1306 STANFORD DR,,11002973,1,PRB,PROPERTY LOST,2011-04-18,2011-04-18,2330,2011-04-17,2359,31,893821.40300000005,504487.02600000001
1525 ALBENGA AV,,11003025,1,VEI,VEHICLE PARKING OFFENSE SCOFF LAW,2011-04-19,2011-04-19,0000,2011-04-19,0000,109,891786.45900000003,502485.90500000003
1300 MEMORIAL DR,,11003081,1,THF,THEFT FROM STRUCTURE WITH LEGAL ACCESS PUBLIC BUILDING,2011-04-21,2011-04-21,2345,2011-04-20,2355,16,893634.74199999997,505003.36800000002
5030 BRUNSON DR,,11003210,1,VEI,VEHICLE PARKING OFFENSE SCOFF LAW,2011-04-26,2011-04-26,0000,2011-04-26,0000,19,894255.06599999999,505594.31900000002
5030 BRUNSON DR,,11003413,1,VEI,VEHICLE PARKING OFFENSE SCOFF LAW,2011-05-02,2011-05-02,0000,2011-05-02,0000,19,894255.06599999999,505594.31900000002
1301 STANFORD DR,,11003432,1,VEI,VEHICLE PARKING OFFENSE SCOFF LAW,2011-05-02,2011-05-02,0000,2011-05-02,0000,50,894666.745,504343.22399999999
1244 STANFORD DR,,11003434,1,ZZZ,VOID RECORDS USE ONLY,2011-05-02,2011-05-02,0000,2011-05-02,0000,45,895022.70700000005,504471.212
1244 STANFORD DR,,11003450,1,VEI,VEHICLE PARKING OFFENSE SCOFF LAW,2011-05-03,2011-05-03,0000,2011-05-03,0000,45,895022.70700000005,504471.212
5615 PAVIA ST,,11003454,1,VEI,VEHICLE PARKING OFFENSE SCOFF LAW,2011-05-03,2011-05-03,0000,2011-05-03,0000,54,894485.30200000003,503768.17499999999
1300 MEMORIAL DR,,11003703,1,VEI,VEHICLE PARKING OFFENSE SCOFF LAW,2011-05-11,2011-05-11,0000,2011-05-11,0000,16,893634.74199999997,505003.36800000002
5615 PAVIA ST,,11003874,1,VEI,VEHICLE PARKING OFFENSE SCOFF LAW,2011-05-17,2011-05-17,0000,2011-05-17,0000,54,894485.30200000003,503768.17499999999
5813 PONCE DE LEON BLVD,,11004048,1,VEI,VEHICLE PARKING OFFENSE SCOFF LAW,2011-05-24,2011-05-24,0000,2011-05-24,0000,91,892276.28300000005,501189.15100000001
1550 BRESCIA AV,,11004062,1,PRA,PROPERTY FOUND IMPOUNDED,2011-05-24,2011-05-24,2202,2011-05-24,2203,97,891684.67799999996,501443.87400000001
5813 PONCE DE LEON BLVD,,11004345,1,VEI,VEHICLE PARKING OFFENSE SCOFF LAW,2011-06-04,2011-06-04,0000,2011-06-04,0000,91,892276.28300000005,501189.15100000001
1245 DAUER DR,,11004417,1,AGD,AGGRAVATED BATTERY,2011-06-07,2011-06-07,1615,2011-06-07,1615,65,893424.071,502854.73300000001
1245 DAUER DR,,11004417,2,ASA,ASSIST LAW AGENCY,2011-06-07,2011-06-07,1615,2011-06-07,1615,65,893424.071,502854.73300000001
1245 DAUER DR,,11004417,2,SCB,SIMPLE ASSAULT THREATS,2011-06-07,2011-06-07,1615,2011-06-07,1615,65,893424.071,502854.73300000001
1245 DAUER DR,,11004417,2,SCA,SIMPLE BATTERY,2011-06-07,2011-06-07,1615,2011-06-07,1615,65,893424.071,502854.73300000001
1245 DAUER DR,,11004495,1,ZZZ,VOID RECORDS USE ONLY,2011-06-09,2011-06-09,0000,2011-06-09,0000,65,893424.071,502854.73300000001
1306 STANFORD DR,,11004753,1,PRA,PROPERTY FOUND IMPOUNDED,2011-06-20,2011-06-20,0830,2011-06-20,0830,31,893821.40300000005,504487.02600000001
1565 LIGURIA AV,104,11004754,1,ZOD,INCIDENT REPORT,2011-06-20,2011-06-20,0642,2011-06-20,0642,106,891560.51199999999,502214.28499999997
1507 LEVANTE AV,,11004841,1,ZZZ,VOID RECORDS USE ONLY,2011-06-23,2011-06-23,0000,2011-06-23,0000,95,891853.24100000004,501275.31300000002
5615 PAVIA ST,,11005468,1,VEI,VEHICLE PARKING OFFENSE SCOFF LAW,2011-07-21,2011-07-21,0000,2011-07-21,0000,54,894485.30200000003,503768.17499999999
1245 DAUER DR,,11005513,1,FDD,FD SICK INJURED PERSON,2011-07-22,2011-07-22,2240,2011-07-22,2245,65,893424.071,502854.73300000001
1300 MEMORIAL DR,,11005553,1,VEI,VEHICLE PARKING OFFENSE SCOFF LAW,2011-07-25,2011-07-25,0000,2011-07-25,0000,16,893634.74199999997,505003.36800000002
1300 MEMORIAL DR,,11005554,1,ZZZ,VOID RECORDS USE ONLY,2011-07-25,2011-07-25,0000,2011-07-25,0000,16,893634.74199999997,505003.36800000002
1300 MEMORIAL DR,,11005555,1,ZZZ,VOID RECORDS USE ONLY,2011-07-25,2011-07-25,0000,2011-07-25,0000,16,893634.74199999997,505003.36800000002
1301 MEMORIAL DR,,11005608,1,PRC,PROPERTY DAMAGED,2011-07-27,2011-07-27,0930,2011-07-27,0934,7,893366.68200000003,505369.12400000001
1585 ALBENGA AV,,11006133,1,ZZZ,VOID RECORDS USE ONLY,2011-08-16,2011-08-16,0000,2011-08-16,0000,107,891478.31499999994,502478.739
5050 BRUNSON DR,,11006390,1,TVE,THEFT OF BICYCLE,2011-08-24,2011-08-24,0800,2011-08-24,1500,20,894420.18700000003,505665.27899999998
1111 MEMORIAL DR,,11006429,1,VEL,VEHICLE TRAFFIC CRASH,2011-08-25,2011-08-25,0000,2011-08-25,0000,18,894105.66599999997,505505.27299999999
1306 STANFORD DR,,11006511,1,TVE,THEFT OF BICYCLE,2011-08-27,2011-08-27,1407,2011-08-27,1407,31,893821.40300000005,504487.02600000001
1306 STANFORD DR,,11006511,2,XOT,TRESPASSING,2011-08-27,2011-08-27,1407,2011-08-27,1407,31,893821.40300000005,504487.02600000001
1300 MEMORIAL DR,,11006651,1,PRB,PROPERTY LOST,2011-09-01,2011-09-01,0800,2011-09-01,1400,16,893634.74199999997,505003.36800000002
5813 PONCE DE LEON BLVD,,11006665,1,ZOM,INTOXICATED PERSON,2011-09-02,2011-09-02,0040,2011-09-02,0048,91,892276.28300000005,501189.15100000001
5813 PONCE DE LEON BLVD,,11006665,2,PRA,PROPERTY FOUND IMPOUNDED,2011-09-02,2011-09-02,0040,2011-09-02,0048,91,892276.28300000005,501189.15100000001
1306 STANFORD DR,,11006720,1,ZZZ,VOID RECORDS USE ONLY,2011-09-03,2011-09-03,0000,2011-09-03,0000,31,893821.40300000005,504487.02600000001
1111 MEMORIAL DR,,11006989,1,VEL,VEHICLE TRAFFIC CRASH,2011-09-12,2011-09-12,0000,2011-09-12,0000,18,894105.66599999997,505505.27299999999
1306 STANFORD DR,,11006992,1,ZOA,TRESPASS WARNING,2011-09-12,2011-09-12,1615,2011-09-12,1621,31,893821.40300000005,504487.02600000001
5615 PAVIA ST,,11007004,1,VEI,VEHICLE PARKING OFFENSE SCOFF LAW,2011-09-13,2011-09-13,0000,2011-09-13,0000,54,894485.30200000003,503768.17499999999
1000 MEMORIAL DR,,11007047,1,TVE,THEFT OF BICYCLE,2011-09-14,2011-09-14,1215,2011-09-14,1335,28,894184.72699999996,504997.91200000001
1000 MEMORIAL DR,,11007047,2,ZOA,TRESPASS WARNING,2011-09-14,2011-09-14,1215,2011-09-14,1335,28,894184.72699999996,504997.91200000001
5225 PONCE DE LEON BLVD,,11007079,1,VEI,VEHICLE PARKING OFFENSE SCOFF LAW,2011-09-15,2011-09-15,0000,2011-09-15,0000,53,894801.88399999996,503471.82400000002
1585 ALBENGA AV,,11007104,1,DIA,DISTURBANCE DOMESTIC,2011-09-15,2011-09-15,2147,2011-09-15,2155,107,891478.31499999994,502478.739
1585 ALBENGA AV,,11007104,2,PRC,PROPERTY DAMAGED,2011-09-15,2011-09-15,2147,2011-09-15,2155,107,891478.31499999994,502478.739
1560 LIGURIA AV,B302,11007131,1,TVC,THEFT OF TRUCK SUV,2011-09-16,2011-09-16,2200,2011-09-16,1530,103,891566.97100000002,501944.41700000002
1531 BRESCIA AV,,11007158,1,ZZZ,VOID RECORDS USE ONLY,2011-09-18,2011-09-18,0000,2011-09-18,0000,101,891769.80900000001,501683.84299999999
1111 MEMORIAL DR,,11007188,1,FDD,FD SICK INJURED PERSON,2011-09-19,2011-09-19,1107,2011-09-19,1108,18,894105.66599999997,505505.27299999999
1244 STANFORD DR,,11007300,1,FDD,FD SICK INJURED PERSON,2011-09-22,2011-09-22,2035,2011-09-22,2038,45,895022.70700000005,504471.212
1306 STANFORD DR,,11007310,1,ZOD,INCIDENT REPORT,2011-09-23,2011-09-23,1328,2011-09-19,1800,31,893821.40300000005,504487.02600000001
1330 MILLER DR,,11007336,1,THF,THEFT FROM STRUCTURE WITH LEGAL ACCESS PUBLIC BUILDING,2011-09-24,2011-09-24,1130,2011-09-23,1230,32,893531.48600000003,504366.55300000001
1300 MEMORIAL DR,,11007387,1,THF,THEFT FROM STRUCTURE WITH LEGAL ACCESS PUBLIC BUILDING,2011-09-26,2011-09-26,1400,2011-09-26,1420,16,893634.74199999997,505003.36800000002
1300 MEMORIAL DR,,11007387,2,ZOA,TRESPASS WARNING,2011-09-26,2011-09-26,1400,2011-09-26,1420,16,893634.74199999997,505003.36800000002
1300 MEMORIAL DR,,11007417,1,VEI,VEHICLE PARKING OFFENSE SCOFF LAW,2011-09-27,2011-09-27,0000,2011-09-27,0000,16,893634.74199999997,505003.36800000002
1300 MEMORIAL DR,,11007418,1,VEI,VEHICLE PARKING OFFENSE SCOFF LAW,2011-09-27,2011-09-27,0000,2011-09-27,0000,16,893634.74199999997,505003.36800000002
1314 MILLER DR,,11007447,1,PRB,PROPERTY LOST,2011-09-29,2011-09-29,1600,2011-09-28,1705,33,893377.17200000002,504450.17200000002
1300 MEMORIAL DR,,11007485,1,VEI,VEHICLE PARKING OFFENSE SCOFF LAW,2011-09-29,2011-09-29,0000,2011-09-29,0000,16,893634.74199999997,505003.36800000002
1244 STANFORD DR,,11007486,1,VEL,VEHICLE TRAFFIC CRASH,2011-09-29,2011-09-29,0000,2011-09-29,0000,45,895022.70700000005,504471.212
5030 BRUNSON DR,,11007511,1,THF,THEFT FROM STRUCTURE WITH LEGAL ACCESS PUBLIC BUILDING,2011-09-30,2011-09-30,1530,2011-09-29,1630,19,894255.06599999999,505594.31900000002
5030 BRUNSON DR,,11007518,1,VEL,VEHICLE TRAFFIC CRASH,2011-09-30,2011-09-30,0000,2011-09-30,0000,19,894255.06599999999,505594.31900000002
5183 PONCE DE LEON BLVD,,11007521,1,THC,THEFT FROM MOTOR VEHICLE,2011-09-30,2011-09-30,1400,2011-09-30,0800,49,895569.78700000001,504323.94
1244 STANFORD DR,,11007527,1,VEI,VEHICLE PARKING OFFENSE SCOFF LAW,2011-09-30,2011-09-30,0000,2011-09-30,0000,45,895022.70700000005,504471.212
1111 MEMORIAL DR,,11007604,1,VEI,VEHICLE PARKING OFFENSE SCOFF LAW,2011-10-03,2011-10-03,0000,2011-10-03,0000,18,894105.66599999997,505505.27299999999
1244 STANFORD DR,,11007681,1,VEI,VEHICLE PARKING OFFENSE SCOFF LAW,2011-10-05,2011-10-05,0000,2011-10-05,0000,45,895022.70700000005,504471.212
1300 MEMORIAL DR,,11007687,1,VEI,VEHICLE PARKING OFFENSE SCOFF LAW,2011-10-05,2011-10-05,0000,2011-10-05,0000,16,893634.74199999997,505003.36800000002
1300 MEMORIAL DR,,11007689,1,VEI,VEHICLE PARKING OFFENSE SCOFF LAW,2011-10-05,2011-10-05,0000,2011-10-05,0000,16,893634.74199999997,505003.36800000002
1300 MEMORIAL DR,,11007695,1,THF,THEFT FROM STRUCTURE WITH LEGAL ACCESS PUBLIC BUILDING,2011-10-05,2011-10-05,1125,2011-10-05,1131,16,893634.74199999997,505003.36800000002
1300 MEMORIAL DR,,11007701,1,VEI,VEHICLE PARKING OFFENSE SCOFF LAW,2011-10-05,2011-10-05,0000,2011-10-05,0000,16,893634.74199999997,505003.36800000002
1507 LEVANTE AV,,11007760,1,TVE,THEFT OF BICYCLE,2011-10-07,2011-10-07,1230,2011-10-07,1830,95,891853.24100000004,501275.31300000002
1507 LEVANTE AV,,11007760,2,ZOA,TRESPASS WARNING,2011-10-07,2011-10-07,1230,2011-10-07,1830,95,891853.24100000004,501275.31300000002
5615 PAVIA ST,,11007785,1,THC,THEFT FROM MOTOR VEHICLE,2011-10-08,2011-10-08,0730,2011-10-08,0915,54,894485.30200000003,503768.17499999999
5615 PAVIA ST,,11007789,1,THC,THEFT FROM MOTOR VEHICLE,2011-10-08,2011-10-08,0840,2011-10-08,0915,54,894485.30200000003,503768.17499999999
5615 PAVIA ST,,11007790,1,THC,THEFT FROM MOTOR VEHICLE,2011-10-08,2011-10-08,0755,2011-10-08,0900,54,894485.30200000003,503768.17499999999
5050 BRUNSON DR,,11007829,1,TVE,THEFT OF BICYCLE,2011-10-10,2011-10-10,0900,2011-10-10,1500,20,894420.18700000003,505665.27899999998
1150 STANFORD DR,,11007852,1,VEI,VEHICLE PARKING OFFENSE SCOFF LAW,2011-10-11,2011-10-11,0000,2011-10-11,0000,133,894933.25600000005,503710.15
1300 MEMORIAL DR,,11007929,1,VEI,VEHICLE PARKING OFFENSE SCOFF LAW,2011-10-13,2011-10-13,0000,2011-10-13,0000,16,893634.74199999997,505003.36800000002
5615 PAVIA ST,,11008006,1,ZZZ,VOID RECORDS USE ONLY,2011-10-15,2011-10-15,0000,2011-10-15,0000,54,894485.30200000003,503768.17499999999
5615 PAVIA ST,,11008114,1,VEI,VEHICLE PARKING OFFENSE SCOFF LAW,2011-10-19,2011-10-19,0000,2011-10-19,0000,54,894485.30200000003,503768.17499999999
1535 LEVANTE AV,233,11008117,1,PRB,PROPERTY LOST,2011-10-19,2011-10-19,0800,2011-10-17,1800,94,891627.89,501154.33500000002
1300 MEMORIAL DR,,11008141,1,VEI,VEHICLE PARKING OFFENSE SCOFF LAW,2011-10-20,2011-10-20,0000,2011-10-20,0000,16,893634.74199999997,505003.36800000002
5030 BRUNSON DR,416,11008156,1,ZOE,SUSPICIOUS INCIDENT,2011-10-20,2011-10-20,1603,2011-10-20,1603,19,894255.06599999999,505594.31900000002
1111 MEMORIAL DR,,11008167,1,SCE,SIMPLE HARASSMENT,2011-10-20,2011-10-20,2000,2011-10-20,1822,18,894105.66599999997,505505.27299999999
5615 PAVIA ST,,11008299,1,VEL,VEHICLE TRAFFIC CRASH,2011-10-25,2011-10-25,0000,2011-10-25,0000,54,894485.30200000003,503768.17499999999
5615 PAVIA ST,,11008333,1,ZZZ,VOID RECORDS USE ONLY,2011-10-26,2011-10-26,0000,2011-10-26,0000,54,894485.30200000003,503768.17499999999
5615 PAVIA ST,,11008343,1,VEI,VEHICLE PARKING OFFENSE SCOFF LAW,2011-10-26,2011-10-26,0000,2011-10-26,0000,54,894485.30200000003,503768.17499999999
1300 MEMORIAL DR,,11008371,1,VEL,VEHICLE TRAFFIC CRASH,2011-10-27,2011-10-27,0000,2011-10-27,0000,16,893634.74199999997,505003.36800000002
1306 STANFORD DR,,11008377,1,THF,THEFT FROM STRUCTURE WITH LEGAL ACCESS PUBLIC BUILDING,2011-10-27,2011-10-27,0800,2011-10-27,1412,31,893821.40300000005,504487.02600000001
6200 SAN AMARO DR,,11008381,1,THF,THEFT FROM STRUCTURE WITH LEGAL ACCESS PUBLIC BUILDING,2011-10-27,2011-10-27,1420,2011-10-27,1425,96,892059.28200000001,501423.57299999997
1314 MILLER DR,,11008391,1,FDD,FD SICK INJURED PERSON,2011-10-27,2011-10-27,2015,2011-10-27,2022,33,893377.17200000002,504450.17200000002
5850 SAN AMARO DR,412,11008398,1,FDD,FD SICK INJURED PERSON,2011-10-28,2011-10-28,0520,2011-10-28,0522,111,892024.495,502487.71799999999
5850 SAN AMARO DR,412,11008398,2,ZOD,INCIDENT REPORT,2011-10-28,2011-10-28,0520,2011-10-28,0522,111,892024.495,502487.71799999999
5850 SAN AMARO DR,412,11008398,2,ZOA,TRESPASS WARNING,2011-10-28,2011-10-28,0520,2011-10-28,0522,111,892024.495,502487.71799999999
1300 MEMORIAL DR,,11008708,1,VEI,VEHICLE PARKING OFFENSE SCOFF LAW,2011-11-07,2011-11-07,0000,2011-11-07,0000,16,893634.74199999997,505003.36800000002
1300 MEMORIAL DR,,11008731,1,VEI,VEHICLE PARKING OFFENSE SCOFF LAW,2011-11-08,2011-11-08,0000,2011-11-08,0000,16,893634.74199999997,505003.36800000002
1300 MEMORIAL DR,,11008759,1,ZOD,INCIDENT REPORT,2011-11-08,2011-11-08,2105,2011-11-08,2106,16,893634.74199999997,505003.36800000002
5615 PAVIA ST,,11008762,1,ZZZ,VOID RECORDS USE ONLY,2011-11-09,2011-11-09,0000,2011-11-09,0000,54,894485.30200000003,503768.17499999999
1306 STANFORD DR,,11008832,1,PRB,PROPERTY LOST,2011-11-11,2011-11-11,1800,2011-11-10,1900,31,893821.40300000005,504487.02600000001
1300 MEMORIAL DR,,11008841,1,VEI,VEHICLE PARKING OFFENSE SCOFF LAW,2011-11-11,2011-11-11,0000,2011-11-11,0000,16,893634.74199999997,505003.36800000002
1111 MEMORIAL DR,,11008903,1,VEI,VEHICLE PARKING OFFENSE SCOFF LAW,2011-11-14,2011-11-14,0000,2011-11-14,0000,18,894105.66599999997,505505.27299999999
1300 MEMORIAL DR,,11008975,1,VEI,VEHICLE PARKING OFFENSE SCOFF LAW,2011-11-16,2011-11-16,0000,2011-11-16,0000,16,893634.74199999997,505003.36800000002
5050 BRUNSON DR,,11008976,1,PRA,PROPERTY FOUND IMPOUNDED,2011-11-16,2011-11-16,1300,2011-11-16,1335,20,894420.18700000003,505665.27899999998
1300 MEMORIAL DR,,11009009,1,THF,THEFT FROM STRUCTURE WITH LEGAL ACCESS PUBLIC BUILDING,2011-11-17,2011-11-17,1030,2011-11-17,1130,16,893634.74199999997,505003.36800000002
1150 STANFORD DR,,11009042,1,ZOD,INCIDENT REPORT,2011-11-18,2011-11-18,1020,2011-11-18,1030,133,894933.25600000005,503710.15
1252 MEMORIAL DR,140,11009044,1,FRL,FRAUD OTHER JURISDICTION,2011-11-18,2011-11-18,1317,2011-11-18,1126,17,893876.15800000005,505263.125
1585 ALBENGA AV,3110C,11009057,1,FRL,FRAUD OTHER JURISDICTION,2011-11-18,2011-11-18,1637,2011-11-08,1637,107,891478.31499999994,502478.739
1560 LIGURIA AV,,11009079,1,PRA,PROPERTY FOUND IMPOUNDED,2011-11-19,2011-11-19,1600,2011-11-19,1601,103,891566.97100000002,501944.41700000002
5200 UNIVERSITY DR,,11009103,1,ZZZ,VOID RECORDS USE ONLY,2011-11-20,2011-11-20,0000,2011-11-20,0000,26,894776.12800000003,505230.76899999997
1111 MEMORIAL DR,312,11009131,1,PRB,PROPERTY LOST,2011-11-21,2011-11-21,1225,2011-11-16,1630,18,894105.66599999997,505505.27299999999
1150 STANFORD DR,,11009160,1,SCE,SIMPLE HARASSMENT,2011-11-22,2011-11-22,1700,2011-11-20,1730,133,894933.25600000005,503710.15
1150 STANFORD DR,,11009160,1,ZOA,TRESPASS WARNING,2011-11-22,2011-11-22,1700,2011-11-20,1730,133,894933.25600000005,503710.15
1300 MEMORIAL DR,,11009169,1,THF,THEFT FROM STRUCTURE WITH LEGAL ACCESS PUBLIC BUILDING,2011-11-22,2011-11-22,1000,2011-11-22,1050,16,893634.74199999997,505003.36800000002
5615 PAVIA ST,,11009207,1,VEL,VEHICLE TRAFFIC CRASH,2011-11-23,2011-11-23,0000,2011-11-23,0000,54,894485.30200000003,503768.17499999999
5615 PAVIA ST,,11009311,1,VEL,VEHICLE TRAFFIC CRASH,2011-11-28,2011-11-28,0000,2011-11-28,0000,54,894485.30200000003,503768.17499999999
5813 PONCE DE LEON BLVD,,11009350,1,PRC,PROPERTY DAMAGED,2011-11-29,2011-11-29,1536,2011-11-29,1536,91,892276.28300000005,501189.15100000001
1300 MEMORIAL DR,,11009416,1,VEI,VEHICLE PARKING OFFENSE SCOFF LAW,2011-12-01,2011-12-01,0000,2011-12-01,0000,16,893634.74199999997,505003.36800000002
1314 MILLER DR,,11009459,1,FDD,FD SICK INJURED PERSON,2011-12-02,2011-12-02,1920,2011-12-02,1920,33,893377.17200000002,504450.17200000002
1306 STANFORD DR,,11009462,1,PRC,PROPERTY DAMAGED,2011-12-02,2011-12-02,1920,2011-12-02,2000,31,893821.40300000005,504487.02600000001
1300 MEMORIAL DR,BLK,11009470,1,FDD,FD SICK INJURED PERSON,2011-12-03,2011-12-03,0145,2011-12-03,0150,16,893634.74199999997,505003.36800000002
1300 MEMORIAL DR,,11009615,1,PRB,PROPERTY LOST,2011-12-07,2011-12-07,1250,2011-12-07,1410,16,893634.74199999997,505003.36800000002
1300 MEMORIAL DR,,11009648,1,VEI,VEHICLE PARKING OFFENSE SCOFF LAW,2011-12-08,2011-12-08,0000,2011-12-08,0000,16,893634.74199999997,505003.36800000002
5225 PONCE DE LEON BLVD,,11009689,1,TVE,THEFT OF BICYCLE,2011-12-09,2011-12-09,0930,2011-12-09,1500,53,894801.88399999996,503471.82400000002
1560 LIGURIA AV,108,11009712,1,ZOD,INCIDENT REPORT,2011-12-10,2011-12-10,0400,2011-12-10,0405,103,891566.97100000002,501944.41700000002
5615 PAVIA ST,,11009818,1,VEL,VEHICLE TRAFFIC CRASH,2011-12-13,2011-12-13,0000,2011-12-13,0000,54,894485.30200000003,503768.17499999999
1300 MEMORIAL DR,,11009830,1,FDD,FD SICK INJURED PERSON,2011-12-13,2011-12-13,1359,2011-12-13,1359,16,893634.74199999997,505003.36800000002
5030 BRUNSON DR,,11009901,1,FDD,FD SICK INJURED PERSON,2011-12-16,2011-12-16,1335,2011-12-15,1338,19,894255.06599999999,505594.31900000002
1306 STANFORD DR,,11009944,2,ZOA,TRESPASS WARNING,2011-12-16,2011-12-16,1830,2011-12-16,1845,31,893821.40300000005,504487.02600000001
1306 STANFORD DR,,11009944,1,ZOB,WARRANT ARREST,2011-12-16,2011-12-16,1830,2011-12-16,1845,31,893821.40300000005,504487.02600000001
1111 MEMORIAL DR,,11009965,1,FDD,FD SICK INJURED PERSON,2011-12-17,2011-12-17,1604,2011-12-17,1604,18,894105.66599999997,505505.27299999999
5615 PAVIA ST,,11010100,1,VEI,VEHICLE PARKING OFFENSE SCOFF LAW,2011-12-22,2011-12-22,0000,2011-12-22,0000,54,894485.30200000003,503768.17499999999
5200 UNIVERSITY DR,,12000424,1,ZOM,INTOXICATED PERSON,2012-01-18,2012-01-18,0324,2012-01-18,0324,26,894776.12800000003,505230.76899999997
1300 MEMORIAL DR,,12000947,1,ZOA,TRESPASS WARNING,2012-02-05,2012-02-05,1927,2012-02-05,1929,16,893634.74199999997,505003.36800000002
1300 MEMORIAL DR,,12003608,1,VEI,VEHICLE PARKING OFFENSE SCOFF LAW,2012-05-04,2012-05-04,0000,2012-05-04,0000,16,893634.74199999997,505003.36800000002
1300 MEMORIAL DR,,12005249,1,VEI,VEHICLE PARKING OFFENSE SCOFF LAW,2012-07-06,2012-07-06,0000,2012-07-06,0000,16,893634.74199999997,505003.36800000002
1306 STANFORD DR,,12005600,1,ZOA,TRESPASS WARNING,2012-07-21,2012-07-21,0149,2012-07-21,0149,31,893821.40300000005,504487.02600000001
